np,mode,strategy,threshold,iterations,first_interval,regular_interval,total_mean_s,total_std_s,compute_accum_mean_s,compute_accum_std_s,comm_accum_mean_s,comm_accum_std_s,balance_accum_mean_s,balance_accum_std_s,rebalance_apply_accum_mean_s,rebalance_apply_accum_std_s
1,static,threshold,0.0003125,10000,100,1000,55.763199896,0.333449655,47.297749899,14.959960185,0.000000000,0.000000000,0.233232760,0.073766951,0.081396386,0.025739991
1,static,threshold,0.01,10000,100,1000,55.860849474,0.250251134,47.385798881,14.986545661,0.000000000,0.000000000,0.233869200,0.073986718,0.081516744,0.025781562
1,static,threshold,0.1,10000,100,1000,55.860765962,0.224624806,47.436571091,15.002586627,0.000000000,0.000000000,0.232665870,0.073575928,0.081372659,0.025732706
1,static,profiled,-,10000,100,1000,55.810091816,0.216853510,47.359967325,14.977879385,0.000000000,0.000000000,0.233246260,0.073780239,0.081443934,0.025758773
1,dynamic,threshold,0.0003125,10000,100,1000,53.640603973,0.076326404,45.448824819,14.372282342,0.000000000,0.000000000,0.309213604,0.097798209,0.087113956,0.027548723
1,dynamic,threshold,0.01,10000,100,1000,55.833871420,0.222055921,47.354416845,14.976640871,0.000000000,0.000000000,0.304227093,0.096205797,0.081346902,0.025724330
1,dynamic,threshold,0.1,10000,100,1000,55.767198569,0.242374189,47.319924107,14.965671784,0.000000000,0.000000000,0.305746345,0.096697918,0.081364355,0.025729931
1,dynamic,profiled,-,10000,100,1000,53.545432425,0.046621584,45.375616809,14.349082135,0.000000000,0.000000000,0.308260536,0.097494266,0.086121539,0.027237658
