run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
9,100,threshold,rebalance,accepted by fixed threshold; diff=0.34873; threshold=0.01,10.442950223,9.392480569,0.354921907,0.145135980,10.442950223,9.392480569,0.354921907,0.145135980,0.250000000|0.500000000|0.750000000|1.000000000,0.497500002|0.504999995|0.995625019|1.000000000,0.497500002|0.504999995|0.995625019|1.000000000,0.092959040|6.105966770|0.094262528|10.442950223
9,1100,scheduled,skip,static balance already attempted,2.420966929,1.843886246,0.000000000,0.000000000,12.863917152,11.236366815,0.354921907,0.145135980,0.497500002|0.504999995|0.995625019|1.000000000,,0.497500002|0.504999995|0.995625019|1.000000000,1.604716128|1.907465682|1.567890592|2.420966929
9,2100,scheduled,skip,static balance already attempted,2.202184931,1.848322645,0.000000000,0.000000000,15.066102083,13.084689460,0.354921907,0.145135980,0.497500002|0.504999995|0.995625019|1.000000000,,0.497500002|0.504999995|0.995625019|1.000000000,1.579719104|1.624935126|1.550663712|2.202184931
9,3100,scheduled,skip,static balance already attempted,1.788286426,1.858123898,0.000000000,0.000000000,16.854388509,14.942813358,0.354921907,0.145135980,0.497500002|0.504999995|0.995625019|1.000000000,,0.497500002|0.504999995|0.995625019|1.000000000,1.579789824|1.567543967|1.550673696|1.788286426
9,4100,scheduled,skip,static balance already attempted,1.579604096,1.822761709,0.000000000,0.000000000,18.433992605,16.765575067,0.354921907,0.145135980,0.497500002|0.504999995|0.995625019|1.000000000,,0.497500002|0.504999995|0.995625019|1.000000000,1.579604096|1.544802612|1.550659072|1.508892291
9,5100,scheduled,skip,static balance already attempted,1.579688576,1.828081068,0.000000000,0.000000000,20.013681181,18.593656135,0.354921907,0.145135980,0.497500002|0.504999995|0.995625019|1.000000000,,0.497500002|0.504999995|0.995625019|1.000000000,1.579688576|1.525386051|1.550165920|1.371137676
9,6100,scheduled,skip,static balance already attempted,1.579698496,1.876025172,0.000000000,0.000000000,21.593379677,20.469681307,0.354921907,0.145135980,0.497500002|0.504999995|0.995625019|1.000000000,,0.497500002|0.504999995|0.995625019|1.000000000,1.579698496|1.510467869|1.550540800|1.277566112
9,7100,scheduled,skip,static balance already attempted,1.579754560,1.877906285,0.000000000,0.000000000,23.173134237,22.347587592,0.354921907,0.145135980,0.497500002|0.504999995|0.995625019|1.000000000,,0.497500002|0.504999995|0.995625019|1.000000000,1.579754560|1.503932663|1.551651168|1.246271135
9,8100,scheduled,skip,static balance already attempted,1.579697984,1.868468025,0.000000000,0.000000000,24.752832221,24.216055617,0.354921907,0.145135980,0.497500002|0.504999995|0.995625019|1.000000000,,0.497500002|0.504999995|0.995625019|1.000000000,1.579697984|1.502348324|1.551548896|1.199311152
9,9100,scheduled,skip,static balance already attempted,1.579917856,1.871507995,0.000000000,0.000000000,26.332750077,26.087563612,0.354921907,0.145135980,0.497500002|0.504999995|0.995625019|1.000000000,,0.497500002|0.504999995|0.995625019|1.000000000,1.579917856|1.501895385|1.550810336|1.141733252
