run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
8,100,threshold,rebalance,accepted by fixed threshold; diff=0.347604; threshold=0.01,10.387250478,9.304098852,0.345109772,0.136030201,10.387250478,9.304098852,0.345109772,0.136030201,0.250000000|0.500000000|0.750000000|1.000000000,0.495937496|0.503437519|0.995625019|1.000000000,0.495937496|0.503437519|0.995625019|1.000000000,0.093163648|6.108580818|0.093931776|10.387250478
8,1100,scheduled,skip,static balance already attempted,2.417272103,1.834445385,0.000000000,0.000000000,12.804522581,11.138544237,0.345109772,0.136030201,0.495937496|0.503437519|0.995625019|1.000000000,,0.495937496|0.503437519|0.995625019|1.000000000,1.593223680|1.898211927|1.572057664|2.417272103
8,2100,scheduled,skip,static balance already attempted,2.186997434,1.786595372,0.000000000,0.000000000,14.991520015,12.925139609,0.345109772,0.136030201,0.495937496|0.503437519|0.995625019|1.000000000,,0.495937496|0.503437519|0.995625019|1.000000000,1.574504416|1.619027693|1.555520608|2.186997434
8,3100,scheduled,skip,static balance already attempted,1.790584266,1.795053199,0.000000000,0.000000000,16.782104281,14.720192808,0.345109772,0.136030201,0.495937496|0.503437519|0.995625019|1.000000000,,0.495937496|0.503437519|0.995625019|1.000000000,1.574386016|1.563303521|1.555597952|1.790584266
8,4100,scheduled,skip,static balance already attempted,1.574350432,1.814278774,0.000000000,0.000000000,18.356454713,16.534471582,0.345109772,0.136030201,0.495937496|0.503437519|0.995625019|1.000000000,,0.495937496|0.503437519|0.995625019|1.000000000,1.574350432|1.538602715|1.555224352|1.512669169
8,5100,scheduled,skip,static balance already attempted,1.574592160,1.805417893,0.000000000,0.000000000,19.931046873,18.339889475,0.345109772,0.136030201,0.495937496|0.503437519|0.995625019|1.000000000,,0.495937496|0.503437519|0.995625019|1.000000000,1.574592160|1.519015000|1.555332384|1.368882751
8,6100,scheduled,skip,static balance already attempted,1.574460096,1.826709205,0.000000000,0.000000000,21.505506969,20.166598680,0.345109772,0.136030201,0.495937496|0.503437519|0.995625019|1.000000000,,0.495937496|0.503437519|0.995625019|1.000000000,1.574460096|1.504968393|1.555997568|1.299493753
8,7100,scheduled,skip,static balance already attempted,1.574517056,1.868384187,0.000000000,0.000000000,23.080024025,22.034982867,0.345109772,0.136030201,0.495937496|0.503437519|0.995625019|1.000000000,,0.495937496|0.503437519|0.995625019|1.000000000,1.574517056|1.498538187|1.555924352|1.225626822
8,8100,scheduled,skip,static balance already attempted,1.574400512,1.891938314,0.000000000,0.000000000,24.654424537,23.926921181,0.345109772,0.136030201,0.495937496|0.503437519|0.995625019|1.000000000,,0.495937496|0.503437519|0.995625019|1.000000000,1.574400512|1.509669496|1.556232288|1.193934964
8,9100,scheduled,skip,static balance already attempted,1.574568352,1.847505019,0.000000000,0.000000000,26.228992889,25.774426200,0.345109772,0.136030201,0.495937496|0.503437519|0.995625019|1.000000000,,0.495937496|0.503437519|0.995625019|1.000000000,1.574568352|1.497687866|1.555649152|1.146389076
