run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
1,100,threshold,rebalance,accepted by fixed threshold; diff=0.348504; threshold=0.01,10.450417796,9.327173730,0.357396277,0.147811315,10.450417796,9.327173730,0.357396277,0.147811315,0.250000000|0.500000000|0.750000000|1.000000000,0.497187495|0.504687488|0.995625019|1.000000000,0.497187495|0.504687488|0.995625019|1.000000000,0.093012000|6.127790901|0.094223552|10.450417796
1,1100,scheduled,skip,static balance already attempted,2.423055871,1.863124219,0.000000000,0.000000000,12.873473667,11.190297949,0.357396277,0.147811315,0.497187495|0.504687488|0.995625019|1.000000000,,0.497187495|0.504687488|0.995625019|1.000000000,1.607594816|1.914224658|1.572406656|2.423055871
1,2100,scheduled,skip,static balance already attempted,2.176630434,1.790698057,0.000000000,0.000000000,15.050104101,12.980996006,0.357396277,0.147811315,0.497187495|0.504687488|0.995625019|1.000000000,,0.497187495|0.504687488|0.995625019|1.000000000,1.578939072|1.618383322|1.551851488|2.176630434
1,3100,scheduled,skip,static balance already attempted,1.798964099,1.809308572,0.000000000,0.000000000,16.849068200,14.790304578,0.357396277,0.147811315,0.497187495|0.504687488|0.995625019|1.000000000,,0.497187495|0.504687488|0.995625019|1.000000000,1.578961824|1.577336314|1.551678720|1.798964099
1,4100,scheduled,skip,static balance already attempted,1.578774016,1.839364382,0.000000000,0.000000000,18.427842216,16.629668960,0.357396277,0.147811315,0.497187495|0.504687488|0.995625019|1.000000000,,0.497187495|0.504687488|0.995625019|1.000000000,1.578774016|1.538846695|1.551420832|1.512804403
1,5100,scheduled,skip,static balance already attempted,1.578631744,1.787554504,0.000000000,0.000000000,20.006473960,18.417223464,0.357396277,0.147811315,0.497187495|0.504687488|0.995625019|1.000000000,,0.497187495|0.504687488|0.995625019|1.000000000,1.578631744|1.517582027|1.551848224|1.372113028
1,6100,scheduled,skip,static balance already attempted,1.578776160,1.824781811,0.000000000,0.000000000,21.585250120,20.242005275,0.357396277,0.147811315,0.497187495|0.504687488|0.995625019|1.000000000,,0.497187495|0.504687488|0.995625019|1.000000000,1.578776160|1.506884218|1.551869152|1.286557116
1,7100,scheduled,skip,static balance already attempted,1.578753824,1.842669132,0.000000000,0.000000000,23.164003944,22.084674407,0.357396277,0.147811315,0.497187495|0.504687488|0.995625019|1.000000000,,0.497187495|0.504687488|0.995625019|1.000000000,1.578753824|1.498968431|1.551898368|1.224252197
1,8100,scheduled,skip,static balance already attempted,1.578744960,1.850751078,0.000000000,0.000000000,24.742748904,23.935425485,0.357396277,0.147811315,0.497187495|0.504687488|0.995625019|1.000000000,,0.497187495|0.504687488|0.995625019|1.000000000,1.578744960|1.497882599|1.552056384|1.189528797
1,9100,scheduled,skip,static balance already attempted,1.579951552,1.839869921,0.000000000,0.000000000,26.322700456,25.775295406,0.357396277,0.147811315,0.497187495|0.504687488|0.995625019|1.000000000,,0.497187495|0.504687488|0.995625019|1.000000000,1.579951552|1.505718342|1.552166944|1.155227241
