run_id,compute_accum_s,comm_accum_s,balance_accum_s,rebalance_apply_accum_s
1,26.322700456,25.775295406,0.357396277,0.147811315
2,26.424495354,25.862877694,0.371552946,0.156895410
3,26.301528639,25.857823536,0.365969767,0.156146083
4,26.386936481,25.702509069,0.363830758,0.153389288
5,26.309335158,26.336432674,0.353720231,0.144095521
6,26.287158879,25.770096868,0.365612748,0.153511613
7,26.428915426,25.822181713,0.360694535,0.151583810
8,26.228992889,25.774426200,0.345109772,0.136030201
9,26.332750077,26.087563612,0.354921907,0.145135980
10,26.238256064,25.895370063,0.351195280,0.141181881
