Max_Volume_Bytes	m_TempoPorByte	b_Latencia
1024	8.17383e-10	6.9772e-05
1500	4.27411e-07	0
2048	1.55098e-07	4.14101e-05
4096	6.47925e-09	0.000345781
8192	2.85596e-09	0.000360621
16384	8.81531e-09	0.000311803
32768	9.62741e-09	0.000298497
65536	1.10812e-08	0.00025086
131072	1.80312e-08	0
262144	1.21469e-08	0.00056665
524288	1.58094e-08	0
1048576	1.6964e-08	0
4194304	1.61518e-08	0
16777216	1.58263e-08	0.00121826
