np,mode,strategy,threshold,iterations,first_interval,regular_interval,total_mean_s,total_std_s,compute_accum_mean_s,compute_accum_std_s,comm_accum_mean_s,comm_accum_std_s,balance_accum_mean_s,balance_accum_std_s,rebalance_apply_accum_mean_s,rebalance_apply_accum_std_s
4,static,threshold,0.0003125,10000,100,1000,56.498729381,0.279252809,13.500538738,4.269456297,40.241675376,12.728675265,0.268341405,0.085649229,0.069021284,0.024264770
4,static,threshold,0.01,10000,100,1000,56.303051548,0.724839309,13.469595415,4.259798696,40.054168004,12.681152424,0.281001047,0.091455022,0.082620683,0.033996965
4,static,threshold,0.1,10000,100,1000,56.010009809,0.570928628,13.535667307,4.280621395,39.845733510,12.611392325,0.273993610,0.087810979,0.075218932,0.027990830
4,static,profiled,-,10000,100,1000,56.332376318,1.036067464,13.485594352,4.264975162,40.085236509,12.704721471,0.289804248,0.104202300,0.090562116,0.057351880
4,dynamic,threshold,0.0003125,10000,100,1000,56.347400149,0.532794115,13.114618766,4.147496212,40.088720032,12.687191240,0.454862512,0.146831096,0.126670154,0.049688514
4,dynamic,threshold,0.01,10000,100,1000,57.109896375,0.607787507,13.488730924,4.266032286,40.757044077,12.900521461,0.400350643,0.126956830,0.070092464,0.024548215
4,dynamic,threshold,0.1,10000,100,1000,56.654782600,0.572828149,13.501805836,4.269859711,40.378032527,12.778543085,0.413518932,0.132275585,0.082918484,0.033024889
4,dynamic,profiled,-,10000,100,1000,56.314325837,0.570170058,13.034358539,4.121860656,40.076772274,12.681619275,0.430823083,0.137763652,0.094243572,0.036126775
