run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
1,100,threshold,rebalance,accepted by fixed threshold; diff=0.245121; threshold=0.0003125,5.398037671,5.170079750,0.296651873,0.078917449,5.398037671,5.170079750,0.296651873,0.078917449,0.125000000|0.250000000|0.375000000|0.500000000|0.625000000|0.750000000|0.875000000|1.000000000,0.242812499|0.246875003|0.499374986|0.503125012|0.750000000|0.752812505|0.997812510|1.000000000,0.242812499|0.246875003|0.499374986|0.503125012|0.750000000|0.752812505|0.997812510|1.000000000,0.050137984|3.015733707|0.048197984|3.057925505|0.049334624|4.290223746|0.049680480|5.398037671
1,1100,threshold,rebalance,accepted by fixed threshold; diff=0.00605155; threshold=0.0003125,1.444700657,4.317698024,0.048875346,0.032213235,6.842738328,9.487777774,0.345527219,0.111130684,0.242812499|0.246875003|0.499374986|0.503125012|0.750000000|0.752812505|0.997812510|1.000000000,0.246875003|0.250625014|0.498750001|0.502187490|0.749062479|0.750937521|0.998437524|1.000000000,0.246875003|0.250625014|0.498750001|0.502187490|0.749062479|0.750937521|0.998437524|1.000000000,0.923699744|0.981605562|0.956014112|1.072662484|0.938451424|1.444700657|0.929542496|1.370476645
1,2100,threshold,rebalance,accepted by fixed threshold; diff=0.000765483; threshold=0.0003125,0.944750779,4.376222661,0.019765235,0.003633482,7.787489107,13.864000435,0.365292454,0.114764166,0.246875003|0.250625014|0.498750001|0.502187490|0.749062479|0.750937521|0.998437524|1.000000000,0.246875003|0.250625014|0.498124987|0.501874983|0.748749971|0.750937521|0.998437524|1.000000000,0.246875003|0.250625014|0.498124987|0.501874983|0.748749971|0.750937521|0.998437524|1.000000000,0.938041536|0.890938465|0.940289888|0.873037870|0.937703648|0.756586592|0.937884512|0.944750779
1,3100,threshold,rebalance,accepted by fixed threshold; diff=0.00082676; threshold=0.0003125,0.938346848,4.399989580,0.016396660,0.001239473,8.725835955,18.263990015,0.381689114,0.116003639,0.246875003|0.250625014|0.498124987|0.501874983|0.748749971|0.750937521|0.998437524|1.000000000,0.246562496|0.250625014|0.497812510|0.501874983|0.748125017|0.750937521|0.998125017|1.000000000,0.246562496|0.250625014|0.497812510|0.501874983|0.748125017|0.750937521|0.998125017|1.000000000,0.937413856|0.871106507|0.937884224|0.905830685|0.938346848|0.734230608|0.938034208|0.800490891
1,4100,threshold,rebalance,accepted by fixed threshold; diff=0.00136216; threshold=0.0003125,0.945216151,4.371754256,0.021295802,0.006645169,9.671052106,22.635744271,0.402984916,0.122648808,0.246562496|0.250625014|0.497812510|0.501874983|0.748125017|0.750937521|0.998125017|1.000000000,0.246250004|0.250312507|0.497187495|0.501250029|0.747500002|0.750625014|0.997500002|1.000000000,0.246250004|0.250312507|0.497187495|0.501250029|0.747500002|0.750625014|0.997500002|1.000000000,0.936827904|0.927477328|0.936717024|0.945216151|0.936419968|0.817183711|0.936885344|0.721535061
1,5100,threshold,rebalance,accepted by fixed threshold; diff=0.000937521; threshold=0.0003125,0.947922927,4.363814833,0.020631474,0.003929260,10.618975033,26.999559104,0.423616390,0.126578068,0.246250004|0.250312507|0.497187495|0.501250029|0.747500002|0.750625014|0.997500002|1.000000000,0.245937496|0.250000000|0.496874988|0.500937521|0.746874988|0.750625014|0.997187495|1.000000000,0.245937496|0.250000000|0.496874988|0.500937521|0.746874988|0.750625014|0.997187495|1.000000000,0.935719584|0.927188210|0.935358336|0.947922927|0.935529952|0.835592820|0.935563424|0.826618170
1,6100,threshold,rebalance,accepted by fixed threshold; diff=0.000698774; threshold=0.0003125,0.950396449,4.377106421,0.018659092,0.004220426,11.569371482,31.376665525,0.442275482,0.130798494,0.245937496|0.250000000|0.496874988|0.500937521|0.746874988|0.750625014|0.997187495|1.000000000,0.245937496|0.250000000|0.496562511|0.500625014|0.746562481|0.750312507|0.996874988|1.000000000,0.245937496|0.250000000|0.496562511|0.500625014|0.746562481|0.750312507|0.996874988|1.000000000,0.934535584|0.930142794|0.935531392|0.943660455|0.933579168|0.950396449|0.934027488|0.864494869
1,7100,threshold,skip,new partition identical,0.935858773,4.357374715,0.014016337,0.000000000,12.505230255,35.734040240,0.456291819,0.130798494,0.245937496|0.250000000|0.496562511|0.500625014|0.746562481|0.750312507|0.996874988|1.000000000,0.245937496|0.250000000|0.496562511|0.500625014|0.746562481|0.750312507|0.996874988|1.000000000,0.245937496|0.250000000|0.496562511|0.500625014|0.746562481|0.750312507|0.996874988|1.000000000,0.934774528|0.929514280|0.934060288|0.927985958|0.933691584|0.935858773|0.934957344|0.897754421
1,8100,threshold,rebalance,accepted by fixed threshold; diff=0.000625007; threshold=0.0003125,0.934924384,4.354320293,0.017952355,0.003009938,13.440154639,40.088360533,0.474244174,0.133808432,0.245937496|0.250000000|0.496562511|0.500625014|0.746562481|0.750312507|0.996874988|1.000000000,0.245625004|0.249687493|0.496250004|0.500625014|0.746562481|0.750312507|0.996562481|1.000000000,0.245625004|0.249687493|0.496250004|0.500625014|0.746562481|0.750312507|0.996562481|1.000000000,0.934823616|0.933511499|0.934149376|0.925313881|0.934085440|0.919958090|0.934924384|0.859398108
1,9100,threshold,rebalance,accepted by fixed threshold; diff=0.000441952; threshold=0.0003125,0.982141123,4.335072913,0.016765128,0.003140933,14.422295762,44.423433446,0.491009302,0.136949365,0.245625004|0.249687493|0.496250004|0.500625014|0.746562481|0.750312507|0.996562481|1.000000000,0.245625004|0.249687493|0.496250004|0.500312507|0.746249974|0.750312507|0.996562481|1.000000000,0.245625004|0.249687493|0.496250004|0.500312507|0.746249974|0.750312507|0.996562481|1.000000000,0.933728544|0.931313107|0.934580768|0.982141123|0.933489152|0.895841129|0.933843776|0.903664271
