run_id,compute_accum_s,comm_accum_s,balance_accum_s,rebalance_apply_accum_s
1,14.422295762,44.423433446,0.491009302,0.136949365
2,14.323871372,44.158134282,0.476819161,0.115119245
3,14.374227016,43.588090942,0.479170475,0.118768822
4,14.394052270,44.640409000,0.462836915,0.104883818
5,14.449916293,44.501036374,0.492985844,0.124226831
6,14.505901601,45.123916404,0.483280997,0.119136422
7,14.480847488,43.489769897,0.545476544,0.184649149
8,14.440844944,43.538896363,0.565780751,0.205489950
9,14.465676469,43.787961692,0.517001727,0.152693200
10,14.403173206,43.724271950,0.489125917,0.131454892
