run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
4,100,threshold,rebalance,accepted by fixed threshold; diff=0.246447; threshold=0.0003125,5.407891666,5.276154168,0.285966708,0.068551941,5.407891666,5.276154168,0.285966708,0.068551941,0.125000000|0.250000000|0.375000000|0.500000000|0.625000000|0.750000000|0.875000000|1.000000000,0.246562496|0.250625014|0.499687493|0.503437519|0.748749971|0.751562476|0.997812510|1.000000000,0.246562496|0.250625014|0.499687493|0.503437519|0.748749971|0.751562476|0.997812510|1.000000000,0.048913216|3.023804984|0.048473152|3.073018003|0.049208416|4.271426169|0.048999040|5.407891666
4,1100,threshold,rebalance,accepted by fixed threshold; diff=0.00182217; threshold=0.0003125,1.434416280,4.269784086,0.027376583,0.011476984,6.842307946,9.545938254,0.313343291,0.080028925,0.246562496|0.250625014|0.499687493|0.503437519|0.748749971|0.751562476|0.997812510|1.000000000,0.247187495|0.250937492|0.499062508|0.502187490|0.749062479|0.750937521|0.998437524|1.000000000,0.247187495|0.250937492|0.499062508|0.502187490|0.749062479|0.750937521|0.998437524|1.000000000,0.937287904|0.977979821|0.943839424|1.071869849|0.933559360|1.434416280|0.934365536|1.371981265
4,2100,threshold,rebalance,accepted by fixed threshold; diff=0.000698787; threshold=0.0003125,0.943508541,4.384296355,0.016621477,0.001576457,7.785816487,13.930234609,0.329964768,0.081605382,0.247187495|0.250937492|0.499062508|0.502187490|0.749062479|0.750937521|0.998437524|1.000000000,0.247187495|0.250937492|0.498437494|0.502187490|0.748749971|0.750937521|0.998437524|1.000000000,0.247187495|0.250937492|0.498437494|0.502187490|0.748749971|0.750937521|0.998437524|1.000000000,0.938463200|0.891163543|0.940184000|0.812236590|0.938957280|0.750032017|0.938246688|0.943508541
4,3100,threshold,rebalance,accepted by fixed threshold; diff=0.0010825; threshold=0.0003125,0.938952640,4.392198506,0.019526446,0.004245619,8.724769127,18.322433115,0.349491214,0.085851001,0.247187495|0.250937492|0.498437494|0.502187490|0.748749971|0.750937521|0.998437524|1.000000000,0.246562496|0.250625014|0.498124987|0.501874983|0.748125017|0.750937521|0.998125017|1.000000000,0.246562496|0.250625014|0.498124987|0.501874983|0.748125017|0.750937521|0.998125017|1.000000000,0.938952640|0.872836798|0.937266080|0.903907785|0.937882048|0.738163465|0.938169376|0.785632325
4,4100,threshold,rebalance,accepted by fixed threshold; diff=0.00121032; threshold=0.0003125,0.937763680,4.378229741,0.019642242,0.004081004,9.662532807,22.700662856,0.369133456,0.089932005,0.246562496|0.250625014|0.498124987|0.501874983|0.748125017|0.750937521|0.998125017|1.000000000,0.246250004|0.250312507|0.497500002|0.501562476|0.747500002|0.750937521|0.997500002|1.000000000,0.246250004|0.250312507|0.497500002|0.501562476|0.747500002|0.750937521|0.997500002|1.000000000,0.936754784|0.924967621|0.937763680|0.892719222|0.936550720|0.799051857|0.937497472|0.721754131
4,5100,threshold,rebalance,accepted by fixed threshold; diff=0.0012103; threshold=0.0003125,0.939193267,4.387259189,0.021327856,0.005707149,10.601726074,27.087922045,0.390461312,0.095639154,0.246250004|0.250312507|0.497500002|0.501562476|0.747500002|0.750937521|0.997500002|1.000000000,0.245937496|0.250312507|0.496874988|0.500937521|0.746874988|0.750625014|0.997187495|1.000000000,0.245937496|0.250312507|0.496874988|0.500937521|0.746874988|0.750625014|0.997187495|1.000000000,0.935959072|0.927264529|0.936915552|0.939193267|0.935374688|0.899927282|0.934952128|0.827161713
4,6100,threshold,rebalance,accepted by fixed threshold; diff=0.000441952; threshold=0.0003125,0.987959892,4.420657124,0.021299082,0.003323108,11.589685966,31.508579169,0.411760394,0.098962262,0.245937496|0.250312507|0.496874988|0.500937521|0.746874988|0.750625014|0.997187495|1.000000000,0.245937496|0.250000000|0.496874988|0.500937521|0.746874988|0.750625014|0.996874988|1.000000000,0.245937496|0.250000000|0.496874988|0.500937521|0.746874988|0.750625014|0.996874988|1.000000000,0.934909472|0.987959892|0.934051616|0.938996491|0.934155712|0.938476364|0.935190656|0.884724774
4,7100,threshold,rebalance,accepted by fixed threshold; diff=0.000624999; threshold=0.0003125,0.934931200,4.386536345,0.019051666,0.004192431,12.524617166,35.895115514,0.430812060,0.103154693,0.245937496|0.250000000|0.496874988|0.500937521|0.746874988|0.750625014|0.996874988|1.000000000,0.245937496|0.250000000|0.496562511|0.500625014|0.746562481|0.750312507|0.996874988|1.000000000,0.245937496|0.250000000|0.496562511|0.500625014|0.746562481|0.750312507|0.996874988|1.000000000,0.934349344|0.931272101|0.934931200|0.926615878|0.934010272|0.919298325|0.933613280|0.901678900
4,8100,threshold,rebalance,accepted by fixed threshold; diff=0.000312507; threshold=0.0003125,0.935054080,4.357184109,0.017534020,0.001729125,13.459671246,40.252299623,0.448346080,0.104883818,0.245937496|0.250000000|0.496562511|0.500625014|0.746562481|0.750312507|0.996874988|1.000000000,0.245937496|0.250000000|0.496562511|0.500625014|0.746562481|0.750312507|0.996562481|1.000000000,0.245937496|0.250000000|0.496562511|0.500625014|0.746562481|0.750312507|0.996562481|1.000000000,0.934215552|0.931477139|0.934476608|0.934124864|0.933951840|0.907040934|0.935054080|0.859996928
4,9100,threshold,skip,new partition identical,0.934381024,4.388109377,0.014490835,0.000000000,14.394052270,44.640409000,0.462836915,0.104883818,0.245937496|0.250000000|0.496562511|0.500625014|0.746562481|0.750312507|0.996562481|1.000000000,0.245937496|0.250000000|0.496562511|0.500625014|0.746562481|0.750312507|0.996562481|1.000000000,0.245937496|0.250000000|0.496562511|0.500625014|0.746562481|0.750312507|0.996562481|1.000000000,0.934105312|0.933016841|0.934097312|0.922972702|0.934381024|0.893029194|0.934281056|0.919346004
