run_id,compute_accum_s,comm_accum_s,balance_accum_s,rebalance_apply_accum_s
1,26.351251988,25.991720225,0.445463154,0.140842104
2,26.250490416,26.728182215,0.440599176,0.140791459
3,26.293431995,25.727403403,0.440258632,0.143809161
4,26.337211409,26.102196491,0.440328851,0.135866713
5,26.273862215,25.667544588,0.449511512,0.143550339
6,26.283510923,25.679560730,0.450015209,0.147650440
7,26.295039279,25.711872161,0.438593019,0.141048416
8,26.241268621,25.812883268,0.427271537,0.132718203
9,26.362025699,25.797539549,0.448825182,0.141962428
10,26.355455501,25.757246010,0.455736112,0.161598653
