run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
9,100,threshold,rebalance,accepted by fixed threshold; diff=0.347604; threshold=0.1,10.409028411,9.270371876,0.357895696,0.141962428,10.409028411,9.270371876,0.357895696,0.141962428,0.250000000|0.500000000|0.750000000|1.000000000,0.495937496|0.503437519|0.995625019|1.000000000,0.495937496|0.503437519|0.995625019|1.000000000,0.093034496|6.135966222|0.093748064|10.409028411
9,1100,threshold,skip,load difference below fixed threshold; diff=0.00251947; threshold=0.1,2.474313529,1.893512010,0.009989466,0.000000000,12.883341940,11.163883886,0.367885162,0.141962428,0.495937496|0.503437519|0.995625019|1.000000000,0.495312512|0.501562476|0.997187495|1.000000000,0.495937496|0.503437519|0.995625019|1.000000000,1.594780224|1.893172483|1.581759936|2.474313529
9,2100,threshold,skip,load difference below fixed threshold; diff=0.0035493; threshold=0.1,2.231635407,1.884092226,0.009211434,0.000000000,15.114977347,13.047976112,0.377096596,0.141962428,0.495937496|0.503437519|0.995625019|1.000000000,0.493750006|0.500937521|0.996874988|1.000000000,0.495937496|0.503437519|0.995625019|1.000000000,1.574885856|1.617408447|1.556263136|2.231635407
9,3100,threshold,skip,load difference below fixed threshold; diff=0.00402628; threshold=0.1,1.799105440,1.830783124,0.009233923,0.000000000,16.914082787,14.878759236,0.386330519,0.141962428,0.495937496|0.503437519|0.995625019|1.000000000,0.493124992|0.500625014|0.996249974|1.000000000,0.495937496|0.503437519|0.995625019|1.000000000,1.574730176|1.562213875|1.555376832|1.799105440
9,4100,threshold,skip,load difference below fixed threshold; diff=0.00443045; threshold=0.1,1.574580672,1.841641110,0.009327301,0.000000000,18.488663459,16.720400346,0.395657820,0.141962428,0.495937496|0.503437519|0.995625019|1.000000000,0.492812514|0.500312507|0.995312512|1.000000000,0.495937496|0.503437519|0.995625019|1.000000000,1.574580672|1.538633080|1.555639776|1.509578634
9,5100,threshold,skip,load difference below fixed threshold; diff=0.00490138; threshold=0.1,1.574679648,1.809071813,0.012730666,0.000000000,20.063343107,18.529472159,0.408388486,0.141962428,0.495937496|0.503437519|0.995625019|1.000000000,0.492500007|0.500000000|0.995000005|1.000000000,0.495937496|0.503437519|0.995625019|1.000000000,1.574679648|1.519118964|1.555117408|1.372749273
9,6100,threshold,skip,load difference below fixed threshold; diff=0.00517281; threshold=0.1,1.574886400,1.811839942,0.009592838,0.000000000,21.638229507,20.341312101,0.417981324,0.141962428,0.495937496|0.503437519|0.995625019|1.000000000,0.492187500|0.500000000|0.994687498|1.000000000,0.495937496|0.503437519|0.995625019|1.000000000,1.574886400|1.506356772|1.555483648|1.291497593
9,7100,threshold,skip,load difference below fixed threshold; diff=0.00523847; threshold=0.1,1.574586208,1.822655644,0.010015447,0.000000000,23.212815715,22.163967745,0.427996771,0.141962428,0.495937496|0.503437519|0.995625019|1.000000000,0.492187500|0.500000000|0.994374990|1.000000000,0.495937496|0.503437519|0.995625019|1.000000000,1.574586208|1.499425447|1.555905568|1.240749998
9,8100,threshold,skip,load difference below fixed threshold; diff=0.00523847; threshold=0.1,1.574704832,1.814576087,0.011152463,0.000000000,24.787520547,23.978543832,0.439149234,0.141962428,0.495937496|0.503437519|0.995625019|1.000000000,0.492187500|0.500000000|0.994374990|1.000000000,0.495937496|0.503437519|0.995625019|1.000000000,1.574704832|1.499275667|1.556049600|1.206838202
9,9100,threshold,skip,load difference below fixed threshold; diff=0.0053217; threshold=0.1,1.574505152,1.818995717,0.009675948,0.000000000,26.362025699,25.797539549,0.448825182,0.141962428,0.495937496|0.503437519|0.995625019|1.000000000,0.492187500|0.500000000|0.994062483|1.000000000,0.495937496|0.503437519|0.995625019|1.000000000,1.574505152|1.498744213|1.555788000|1.156230146
