run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
1,100,threshold,rebalance,accepted by fixed threshold; diff=0.489688; threshold=0.1,17.222452404,0.000000000,0.256185541,0.089559807,17.222452404,0.000000000,0.256185541,0.089559807,0.500000000|1.000000000,0.989687502|1.000000000,0.989687502|1.000000000,0.182125760|17.222452404
1,1100,threshold,skip,load difference below fixed threshold; diff=0.00437498; threshold=0.1,5.257759614,0.000000000,0.010009912,0.000000000,22.480212018,0.000000000,0.266195453,0.089559807,0.989687502|1.000000000,0.994062483|1.000000000,0.989687502|1.000000000,3.071120544|5.257759614
1,2100,threshold,skip,load difference below fixed threshold; diff=0.00343752; threshold=0.1,4.683475792,0.000000000,0.009893486,0.000000000,27.163687810,0.000000000,0.276088939,0.089559807,0.989687502|1.000000000,0.993125021|1.000000000,0.989687502|1.000000000,3.043760832|4.683475792
1,3100,threshold,skip,load difference below fixed threshold; diff=0.00218749; threshold=0.1,3.968772261,0.000000000,0.009298580,0.000000000,31.132460071,0.000000000,0.285387519,0.089559807,0.989687502|1.000000000,0.991874993|1.000000000,0.989687502|1.000000000,3.125654880|3.968772261
1,4100,threshold,skip,new partition identical,3.370562880,0.000000000,0.008293775,0.000000000,34.503022951,0.000000000,0.293681294,0.089559807,0.989687502|1.000000000,0.989687502|1.000000000,0.989687502|1.000000000,3.370562880|3.362363310
1,5100,threshold,skip,load difference below fixed threshold; diff=0.00125003; threshold=0.1,3.411099552,0.000000000,0.008274010,0.000000000,37.914122503,0.000000000,0.301955304,0.089559807,0.989687502|1.000000000,0.988437474|1.000000000,0.989687502|1.000000000,3.411099552|3.042280153
1,6100,threshold,skip,load difference below fixed threshold; diff=0.00218749; threshold=0.1,3.406389760,0.000000000,0.008287489,0.000000000,41.320512263,0.000000000,0.310242793,0.089559807,0.989687502|1.000000000,0.987500012|1.000000000,0.989687502|1.000000000,3.406389760|2.816305919
1,7100,threshold,skip,load difference below fixed threshold; diff=0.00312501; threshold=0.1,3.429047872,0.000000000,0.008322550,0.000000000,44.749560135,0.000000000,0.318565343,0.089559807,0.989687502|1.000000000,0.986562490|1.000000000,0.989687502|1.000000000,3.429047872|2.648954590
1,8100,threshold,skip,load difference below fixed threshold; diff=0.00375003; threshold=0.1,3.442800608,0.000000000,0.008239858,0.000000000,48.192360743,0.000000000,0.326805201,0.089559807,0.989687502|1.000000000,0.985937476|1.000000000,0.989687502|1.000000000,3.442800608|2.536098112
1,9100,threshold,skip,load difference below fixed threshold; diff=0.00406247; threshold=0.1,3.449790112,0.000000000,0.008198302,0.000000000,51.642150855,0.000000000,0.335003503,0.089559807,0.989687502|1.000000000,0.985625029|1.000000000,0.989687502|1.000000000,3.449790112|2.439104879
