run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
2,100,threshold,rebalance,accepted by fixed threshold; diff=0.489688; threshold=0.1,17.226103861,0.000000000,0.255766156,0.089437520,17.226103861,0.000000000,0.255766156,0.089437520,0.500000000|1.000000000,0.989687502|1.000000000,0.989687502|1.000000000,0.182027712|17.226103861
2,1100,threshold,skip,load difference below fixed threshold; diff=0.00437498; threshold=0.1,5.279904598,0.000000000,0.010071302,0.000000000,22.506008459,0.000000000,0.265837458,0.089437520,0.989687502|1.000000000,0.994062483|1.000000000,0.989687502|1.000000000,3.071101536|5.279904598
2,2100,threshold,skip,load difference below fixed threshold; diff=0.00343752; threshold=0.1,4.686011072,0.000000000,0.009841525,0.000000000,27.192019531,0.000000000,0.275678983,0.089437520,0.989687502|1.000000000,0.993125021|1.000000000,0.989687502|1.000000000,3.043868512|4.686011072
2,3100,threshold,skip,load difference below fixed threshold; diff=0.00218749; threshold=0.1,3.980593335,0.000000000,0.009332662,0.000000000,31.172612866,0.000000000,0.285011645,0.089437520,0.989687502|1.000000000,0.991874993|1.000000000,0.989687502|1.000000000,3.116818496|3.980593335
2,4100,threshold,skip,new partition identical,3.403413094,0.000000000,0.009358433,0.000000000,34.576025960,0.000000000,0.294370078,0.089437520,0.989687502|1.000000000,0.989687502|1.000000000,0.989687502|1.000000000,3.364631072|3.403413094
2,5100,threshold,skip,load difference below fixed threshold; diff=0.00125003; threshold=0.1,3.407236320,0.000000000,0.008887216,0.000000000,37.983262280,0.000000000,0.303257294,0.089437520,0.989687502|1.000000000,0.988437474|1.000000000,0.989687502|1.000000000,3.407236320|3.049186165
2,6100,threshold,skip,load difference below fixed threshold; diff=0.00218749; threshold=0.1,3.417066080,0.000000000,0.008842657,0.000000000,41.400328360,0.000000000,0.312099951,0.089437520,0.989687502|1.000000000,0.987500012|1.000000000,0.989687502|1.000000000,3.417066080|2.821765964
2,7100,threshold,skip,load difference below fixed threshold; diff=0.0028125; threshold=0.1,3.426176192,0.000000000,0.009810445,0.000000000,44.826504552,0.000000000,0.321910396,0.089437520,0.989687502|1.000000000,0.986874998|1.000000000,0.989687502|1.000000000,3.426176192|2.664644449
2,8100,threshold,skip,load difference below fixed threshold; diff=0.00375003; threshold=0.1,3.446680608,0.000000000,0.008776727,0.000000000,48.273185160,0.000000000,0.330687123,0.089437520,0.989687502|1.000000000,0.985937476|1.000000000,0.989687502|1.000000000,3.446680608|2.541638519
2,9100,threshold,skip,load difference below fixed threshold; diff=0.00406247; threshold=0.1,3.450173248,0.000000000,0.008713869,0.000000000,51.723358408,0.000000000,0.339400992,0.089437520,0.989687502|1.000000000,0.985625029|1.000000000,0.989687502|1.000000000,3.450173248|2.447852652
