run_id,compute_accum_s,comm_accum_s,balance_accum_s,rebalance_apply_accum_s
1,51.642150855,0.000000000,0.335003503,0.089559807
2,51.723358408,0.000000000,0.339400992,0.089437520
3,52.189979795,0.000000000,0.336843246,0.089604230
4,52.189869075,0.000000000,0.335934169,0.089556449
5,52.245320659,0.000000000,0.334961973,0.089561767
6,52.188520470,0.000000000,0.334634935,0.089534692
7,51.689348872,0.000000000,0.334731287,0.089287795
8,52.236680826,0.000000000,0.336415242,0.089262962
9,52.142857298,0.000000000,0.336212443,0.089610249
10,52.271078924,0.000000000,0.339072007,0.089592436
