run_id,compute_accum_s,comm_accum_s,balance_accum_s,rebalance_apply_accum_s
1,52.189517300,0.000000000,0.255701940,0.089253690
2,51.660079267,0.000000000,0.255828415,0.089338823
3,52.221914552,0.000000000,0.262106807,0.090824628
4,51.711611622,0.000000000,0.256227925,0.089450293
5,52.076886463,0.000000000,0.255689826,0.089252513
6,52.252311596,0.000000000,0.255945099,0.089899662
7,52.222059926,0.000000000,0.256242777,0.089159700
8,52.233083459,0.000000000,0.256005033,0.089640136
9,52.212304258,0.000000000,0.255665874,0.089299237
10,52.179872134,0.000000000,0.256295163,0.089764596
