run_id,compute_accum_s,comm_accum_s,balance_accum_s,rebalance_apply_accum_s
1,14.918883992,44.052940958,0.286204611,0.066885404
2,14.788650843,44.609659435,0.285008524,0.066957368
3,14.782705223,44.200810641,0.291665017,0.074432097
4,14.854172992,44.061985930,0.291264642,0.067677062
5,14.846702105,43.955895898,0.299488279,0.081368844
6,14.880982635,44.808664782,0.321195659,0.096529264
7,14.915071335,44.669387597,0.285238781,0.067511096
8,14.852074198,44.222143797,0.288002397,0.070280864
9,14.855828909,44.112739795,0.314875272,0.096506691
10,14.810853889,43.964200301,0.288812278,0.071085431
