run_id,total_time_s,metrics_file,timing_file,log_file
1,56.366780682,Results/np4/static_threshold_threshold_0p0003125/metrics_run_1.csv,Results/np4/static_threshold_threshold_0p0003125/total_time_run_1.txt,Results/np4/static_threshold_threshold_0p0003125/logs/run_1.out
2,56.731647975,Results/np4/static_threshold_threshold_0p0003125/metrics_run_2.csv,Results/np4/static_threshold_threshold_0p0003125/total_time_run_2.txt,Results/np4/static_threshold_threshold_0p0003125/logs/run_2.out
3,56.370302630,Results/np4/static_threshold_threshold_0p0003125/metrics_run_3.csv,Results/np4/static_threshold_threshold_0p0003125/total_time_run_3.txt,Results/np4/static_threshold_threshold_0p0003125/logs/run_3.out
4,56.141356674,Results/np4/static_threshold_threshold_0p0003125/metrics_run_4.csv,Results/np4/static_threshold_threshold_0p0003125/total_time_run_4.txt,Results/np4/static_threshold_threshold_0p0003125/logs/run_4.out
5,56.123299896,Results/np4/static_threshold_threshold_0p0003125/metrics_run_5.csv,Results/np4/static_threshold_threshold_0p0003125/total_time_run_5.txt,Results/np4/static_threshold_threshold_0p0003125/logs/run_5.out
6,57.074738223,Results/np4/static_threshold_threshold_0p0003125/metrics_run_6.csv,Results/np4/static_threshold_threshold_0p0003125/total_time_run_6.txt,Results/np4/static_threshold_threshold_0p0003125/logs/run_6.out
7,56.760275572,Results/np4/static_threshold_threshold_0p0003125/metrics_run_7.csv,Results/np4/static_threshold_threshold_0p0003125/total_time_run_7.txt,Results/np4/static_threshold_threshold_0p0003125/logs/run_7.out
8,56.562503059,Results/np4/static_threshold_threshold_0p0003125/metrics_run_8.csv,Results/np4/static_threshold_threshold_0p0003125/total_time_run_8.txt,Results/np4/static_threshold_threshold_0p0003125/logs/run_8.out
9,56.494503662,Results/np4/static_threshold_threshold_0p0003125/metrics_run_9.csv,Results/np4/static_threshold_threshold_0p0003125/total_time_run_9.txt,Results/np4/static_threshold_threshold_0p0003125/logs/run_9.out
10,56.361885435,Results/np4/static_threshold_threshold_0p0003125/metrics_run_10.csv,Results/np4/static_threshold_threshold_0p0003125/total_time_run_10.txt,Results/np4/static_threshold_threshold_0p0003125/logs/run_10.out
