run_id,compute_accum_s,comm_accum_s,balance_accum_s,rebalance_apply_accum_s
1,26.333326043,25.809353802,0.450992896,0.148162293
2,26.274375576,25.688145574,0.442248015,0.145188736
3,26.234257707,25.902393186,0.434658789,0.138472522
4,26.293707304,26.117699789,0.446087037,0.143123867
5,26.322522066,25.798164893,0.445807873,0.147475829
6,26.258939209,26.028753480,0.445456852,0.150185221
7,26.270107835,25.690104898,0.489791977,0.190408665
8,26.452318626,25.971213533,0.441436917,0.145619683
9,26.318764559,25.780397094,0.452495483,0.149325693
10,26.249261516,25.706235674,0.442134317,0.147597353
