run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
1,100,threshold,rebalance,accepted by fixed threshold; diff=0.348279; threshold=0.01,10.435961020,9.388703761,0.358071752,0.148162293,10.435961020,9.388703761,0.358071752,0.148162293,0.250000000|0.500000000|0.750000000|1.000000000,0.496874988|0.504374981|0.995625019|1.000000000,0.496874988|0.504374981|0.995625019|1.000000000,0.093071936|6.094847505|0.094145568|10.435961020
1,1100,threshold,skip,load difference below fixed threshold; diff=0.00251942; threshold=0.01,2.455496827,1.821606304,0.009724767,0.000000000,12.891457847,11.210310065,0.367796519,0.148162293,0.496874988|0.504374981|0.995625019|1.000000000,0.496250004|0.502499998|0.997187495|1.000000000,0.496874988|0.504374981|0.995625019|1.000000000,1.594715008|1.899318576|1.581515744|2.455496827
1,2100,threshold,skip,load difference below fixed threshold; diff=0.00501945; threshold=0.01,2.184482318,1.781520635,0.009653808,0.000000000,15.075940165,12.991830700,0.377450327,0.148162293,0.496874988|0.504374981|0.995625019|1.000000000,0.493437499|0.500937521|0.996874988|1.000000000,0.496874988|0.504374981|0.995625019|1.000000000,1.577636352|1.615561926|1.551848640|2.184482318
1,3100,threshold,skip,load difference below fixed threshold; diff=0.00533997; threshold=0.01,1.791811670,1.792730444,0.009777986,0.000000000,16.867751835,14.784561144,0.387228313,0.148162293,0.496874988|0.504374981|0.995625019|1.000000000,0.493124992|0.500625014|0.996249974|1.000000000,0.496874988|0.504374981|0.995625019|1.000000000,1.577446752|1.560806182|1.551958368|1.791811670
1,4100,threshold,skip,load difference below fixed threshold; diff=0.00552865; threshold=0.01,1.577419136,1.809362158,0.013258666,0.000000000,18.445170971,16.593923302,0.400486979,0.148162293,0.496874988|0.504374981|0.995625019|1.000000000,0.492812514|0.500625014|0.995625019|1.000000000,0.496874988|0.504374981|0.995625019|1.000000000,1.577419136|1.536910395|1.552636224|1.538974687
1,5100,threshold,skip,load difference below fixed threshold; diff=0.00621865; threshold=0.01,1.577427808,1.797194602,0.009839027,0.000000000,20.022598779,18.391117904,0.410326006,0.148162293,0.496874988|0.504374981|0.995625019|1.000000000,0.492500007|0.500000000|0.995000005|1.000000000,0.496874988|0.504374981|0.995625019|1.000000000,1.577427808|1.517668773|1.551613632|1.368652430
1,6100,threshold,skip,load difference below fixed threshold; diff=0.00648012; threshold=0.01,1.577537888,1.837798523,0.009478298,0.000000000,21.600136667,20.228916427,0.419804304,0.148162293,0.496874988|0.504374981|0.995625019|1.000000000,0.492187500|0.500000000|0.994687498|1.000000000,0.496874988|0.504374981|0.995625019|1.000000000,1.577537888|1.505893557|1.551440160|1.278615478
1,7100,threshold,skip,load difference below fixed threshold; diff=0.00653265; threshold=0.01,1.577434688,1.874239279,0.012012976,0.000000000,23.177571355,22.103155706,0.431817280,0.148162293,0.496874988|0.504374981|0.995625019|1.000000000,0.492187500|0.500000000|0.994374990|1.000000000,0.496874988|0.504374981|0.995625019|1.000000000,1.577434688|1.503949550|1.551882528|1.218288937
1,8100,threshold,skip,load difference below fixed threshold; diff=0.00702951; threshold=0.01,1.577758656,1.844038940,0.009678113,0.000000000,24.755330011,23.947194646,0.441495393,0.148162293,0.496874988|0.504374981|0.995625019|1.000000000,0.491874993|0.499687493|0.994062483|1.000000000,0.496874988|0.504374981|0.995625019|1.000000000,1.577758656|1.497205961|1.552364768|1.180457012
1,9100,threshold,skip,load difference below fixed threshold; diff=0.00659959; threshold=0.01,1.577996032,1.862159156,0.009497503,0.000000000,26.333326043,25.809353802,0.450992896,0.148162293,0.496874988|0.504374981|0.995625019|1.000000000,0.492187500|0.500000000|0.994062483|1.000000000,0.496874988|0.504374981|0.995625019|1.000000000,1.577996032|1.498186276|1.554520352|1.170757298
