run_id,compute_accum_s,comm_accum_s,balance_accum_s,rebalance_apply_accum_s
1,51.321212137,0.000000000,0.260766345,0.089421571
2,51.999900834,0.000000000,0.255948719,0.089534228
3,51.616943022,0.000000000,0.256109492,0.089698378
4,52.219651413,0.000000000,0.256379969,0.089511280
5,52.178594125,0.000000000,0.256147041,0.089381777
6,52.261209094,0.000000000,0.256122023,0.089687795
7,52.290785682,0.000000000,0.255907165,0.089578864
8,52.250071038,0.000000000,0.256231114,0.089465992
9,51.828760071,0.000000000,0.256107679,0.089450227
10,52.308121468,0.000000000,0.255840809,0.089630139
