run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
10,100,threshold,rebalance,accepted by fixed threshold; diff=0.489375; threshold=0.0003125,17.215187785,0.000000000,0.255840809,0.089630139,17.215187785,0.000000000,0.255840809,0.089630139,0.500000000|1.000000000,0.989374995|1.000000000,0.989374995|1.000000000,0.182295264|17.215187785
10,1100,scheduled,skip,static balance already attempted,5.423847457,0.000000000,0.000000000,0.000000000,22.639035242,0.000000000,0.255840809,0.089630139,0.989374995|1.000000000,,0.989374995|1.000000000,3.060923968|5.423847457
10,2100,scheduled,skip,static balance already attempted,4.869335301,0.000000000,0.000000000,0.000000000,27.508370543,0.000000000,0.255840809,0.089630139,0.989374995|1.000000000,,0.989374995|1.000000000,3.043035520|4.869335301
10,3100,scheduled,skip,static balance already attempted,4.075282694,0.000000000,0.000000000,0.000000000,31.583653237,0.000000000,0.255840809,0.089630139,0.989374995|1.000000000,,0.989374995|1.000000000,3.110504736|4.075282694
10,4100,scheduled,skip,static balance already attempted,3.543463751,0.000000000,0.000000000,0.000000000,35.127116988,0.000000000,0.255840809,0.089630139,0.989374995|1.000000000,,0.989374995|1.000000000,3.326506464|3.543463751
10,5100,scheduled,skip,static balance already attempted,3.406201216,0.000000000,0.000000000,0.000000000,38.533318204,0.000000000,0.255840809,0.089630139,0.989374995|1.000000000,,0.989374995|1.000000000,3.406201216|3.154838706
10,6100,scheduled,skip,static balance already attempted,3.443669504,0.000000000,0.000000000,0.000000000,41.976987708,0.000000000,0.255840809,0.089630139,0.989374995|1.000000000,,0.989374995|1.000000000,3.443669504|2.949338030
10,7100,scheduled,skip,static balance already attempted,3.446115616,0.000000000,0.000000000,0.000000000,45.423103324,0.000000000,0.255840809,0.089630139,0.989374995|1.000000000,,0.989374995|1.000000000,3.446115616|2.746289233
10,8100,scheduled,skip,static balance already attempted,3.430495552,0.000000000,0.000000000,0.000000000,48.853598876,0.000000000,0.255840809,0.089630139,0.989374995|1.000000000,,0.989374995|1.000000000,3.430495552|2.622705211
10,9100,scheduled,skip,static balance already attempted,3.454522592,0.000000000,0.000000000,0.000000000,52.308121468,0.000000000,0.255840809,0.089630139,0.989374995|1.000000000,,0.989374995|1.000000000,3.454522592|2.522506476
