run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
7,100,profiled,rebalance,adaptive decision accepted; remaining_iterations=9900; gain_total=101.56; migration_cost=0.0176426; max_migrated_bytes=1040000; T_comp_int_per_iter=0.0104432; T_comp_bal_per_iter=0.000184642,10.443226680,9.336680328,0.355587423,0.145802890,10.443226680,9.336680328,0.355587423,0.145802890,0.250000000|0.500000000|0.750000000|1.000000000,0.496562511|0.504062474|0.995625019|1.000000000,0.496562511|0.504062474|0.995625019|1.000000000,0.092930528|6.113120661|0.093905888|10.443226680
7,1100,scheduled,skip,static balance already attempted,2.412573216,1.877084970,0.000000000,0.000000000,12.855799896,11.213765298,0.355587423,0.145802890,0.496562511|0.504062474|0.995625019|1.000000000,,0.496562511|0.504062474|0.995625019|1.000000000,1.605119392|1.897675635|1.574816032|2.412573216
7,2100,scheduled,skip,static balance already attempted,2.166843462,1.824347859,0.000000000,0.000000000,15.022643358,13.038113157,0.355587423,0.145802890,0.496562511|0.504062474|0.995625019|1.000000000,,0.496562511|0.504062474|0.995625019|1.000000000,1.576411424|1.622765805|1.553472672|2.166843462
7,3100,scheduled,skip,static balance already attempted,1.793211623,1.817967138,0.000000000,0.000000000,16.815854981,14.856080295,0.355587423,0.145802890,0.496562511|0.504062474|0.995625019|1.000000000,,0.496562511|0.504062474|0.995625019|1.000000000,1.576249344|1.567301685|1.553398848|1.793211623
7,4100,scheduled,skip,static balance already attempted,1.576327136,1.867676878,0.000000000,0.000000000,18.392182117,16.723757173,0.355587423,0.145802890,0.496562511|0.504062474|0.995625019|1.000000000,,0.496562511|0.504062474|0.995625019|1.000000000,1.576327136|1.540620695|1.553040288|1.523851814
7,5100,scheduled,skip,static balance already attempted,1.576389568,1.850633138,0.000000000,0.000000000,19.968571685,18.574390311,0.355587423,0.145802890,0.496562511|0.504062474|0.995625019|1.000000000,,0.496562511|0.504062474|0.995625019|1.000000000,1.576389568|1.521301604|1.553346560|1.378928605
7,6100,scheduled,skip,static balance already attempted,1.576172896,1.823715075,0.000000000,0.000000000,21.544744581,20.398105386,0.355587423,0.145802890,0.496562511|0.504062474|0.995625019|1.000000000,,0.496562511|0.504062474|0.995625019|1.000000000,1.576172896|1.509545404|1.554638688|1.304925520
7,7100,scheduled,skip,static balance already attempted,1.576347584,1.873565883,0.000000000,0.000000000,23.121092165,22.271671269,0.355587423,0.145802890,0.496562511|0.504062474|0.995625019|1.000000000,,0.496562511|0.504062474|0.995625019|1.000000000,1.576347584|1.503645323|1.555842080|1.242634668
7,8100,scheduled,skip,static balance already attempted,1.576505856,1.859794090,0.000000000,0.000000000,24.697598021,24.131465359,0.355587423,0.145802890,0.496562511|0.504062474|0.995625019|1.000000000,,0.496562511|0.504062474|0.995625019|1.000000000,1.576505856|1.503062830|1.554771520|1.185352242
7,9100,scheduled,skip,static balance already attempted,1.576402240,1.836589485,0.000000000,0.000000000,26.274000261,25.968054844,0.355587423,0.145802890,0.496562511|0.504062474|0.995625019|1.000000000,,0.496562511|0.504062474|0.995625019|1.000000000,1.576402240|1.504559506|1.555093280|1.161783415
