run_id,compute_accum_s,comm_accum_s,balance_accum_s,rebalance_apply_accum_s
1,51.773094259,0.000000000,0.262340405,0.090981017
2,52.252590847,0.000000000,0.256325315,0.089636148
3,52.297937407,0.000000000,0.256019271,0.089259914
4,52.224012398,0.000000000,0.256026725,0.089638121
5,52.352942660,0.000000000,0.255972734,0.089559573
6,52.214463177,0.000000000,0.255898639,0.089732408
7,51.699831769,0.000000000,0.256696510,0.089533275
8,52.297333580,0.000000000,0.256330708,0.089308997
9,52.339164534,0.000000000,0.260995934,0.089522494
10,51.792417061,0.000000000,0.255954958,0.089512232
