run_id,compute_accum_s,comm_accum_s,balance_accum_s,rebalance_apply_accum_s
1,14.838494762,45.054862002,0.465967806,0.106233643
2,14.807846569,44.332930479,0.447021178,0.084720639
3,14.786926847,45.463242902,0.435379992,0.074280729
4,14.808195038,44.837099500,0.437237987,0.075343645
5,14.808432980,43.631552153,0.433998261,0.070451640
6,14.797527624,44.774957621,0.441803120,0.074729416
7,15.040212807,44.368890921,0.430706608,0.067011347
8,14.853566255,44.973853203,0.434690907,0.069087517
9,14.816536595,45.819136624,0.432184492,0.068329116
10,14.818300686,45.070959445,0.444866727,0.080829414
