run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
2,100,threshold,rebalance,accepted by fixed threshold; diff=0.246328; threshold=0.01,5.401058915,5.238046014,0.302433618,0.084720639,5.401058915,5.238046014,0.302433618,0.084720639,0.125000000|0.250000000|0.375000000|0.500000000|0.625000000|0.750000000|0.875000000|1.000000000,0.245937496|0.250000000|0.500937521|0.504999995|0.747812510|0.750625014|0.997812510|1.000000000,0.245937496|0.250000000|0.500937521|0.504999995|0.747812510|0.750625014|0.997812510|1.000000000,0.048976192|3.014399616|0.047997408|3.052050033|0.049624448|4.276682792|0.048767744|5.401058915
2,1100,threshold,skip,load difference below fixed threshold; diff=0.00390313; threshold=0.01,1.411223313,4.286180824,0.017402368,0.000000000,6.812282228,9.524226838,0.319835986,0.084720639,0.245937496|0.250000000|0.500937521|0.504999995|0.747812510|0.750625014|0.997812510|1.000000000,0.246875003|0.250937492|0.499062508|0.502187490|0.749062479|0.750937521|0.998437524|1.000000000,0.245937496|0.250000000|0.500937521|0.504999995|0.747812510|0.750625014|0.997812510|1.000000000,0.935483680|0.992716183|0.950268000|1.153420411|0.923897856|1.411223313|0.938473792|1.370187405
2,2100,threshold,skip,load difference below fixed threshold; diff=0.00448525; threshold=0.01,1.253631695,4.311288528,0.014681151,0.000000000,8.065913923,13.835515366,0.334517137,0.084720639,0.245937496|0.250000000|0.500937521|0.504999995|0.747812510|0.750625014|0.997812510|1.000000000,0.246562496|0.250625014|0.498124987|0.501874983|0.748749971|0.751250029|0.998437524|1.000000000,0.245937496|0.250000000|0.500937521|0.504999995|0.747812510|0.750625014|0.997812510|1.000000000,0.934706176|0.949383914|0.949763040|0.990909034|0.922440032|1.067767126|0.937085440|1.253631695
2,3100,threshold,skip,load difference below fixed threshold; diff=0.00472901; threshold=0.01,1.041113848,4.304320979,0.014343679,0.000000000,9.107027771,18.139836345,0.348860816,0.084720639,0.245937496|0.250000000|0.500937521|0.504999995|0.747812510|0.750625014|0.997812510|1.000000000,0.246250004|0.250312507|0.497812510|0.501562476|0.748125017|0.751250029|0.998125017|1.000000000,0.245937496|0.250000000|0.500937521|0.504999995|0.747812510|0.750625014|0.997812510|1.000000000,0.934792928|0.930730259|0.949544864|0.965236660|0.922046976|0.881633168|0.937152128|1.041113848
2,4100,threshold,skip,load difference below fixed threshold; diff=0.00513489; threshold=0.01,0.952046894,4.336720620,0.019103557,0.000000000,10.059074665,22.476556965,0.367964373,0.084720639,0.245937496|0.250000000|0.500937521|0.504999995|0.747812510|0.750625014|0.997812510|1.000000000,0.246250004|0.250312507|0.497500002|0.501250029|0.747500002|0.750937521|0.997500002|1.000000000,0.245937496|0.250000000|0.500937521|0.504999995|0.747812510|0.750625014|0.997812510|1.000000000,0.934680576|0.928338506|0.949667392|0.952046894|0.922237216|0.813001109|0.937104096|0.850277098
2,5100,threshold,skip,load difference below fixed threshold; diff=0.00537645; threshold=0.01,0.949365696,4.371620278,0.016956922,0.000000000,11.008440361,26.848177243,0.384921295,0.084720639,0.245937496|0.250000000|0.500937521|0.504999995|0.747812510|0.750625014|0.997812510|1.000000000,0.245937496|0.250000000|0.497187495|0.501250029|0.747187495|0.750625014|0.997187495|1.000000000,0.245937496|0.250000000|0.500937521|0.504999995|0.747812510|0.750625014|0.997812510|1.000000000,0.934805792|0.939174707|0.949365696|0.939878516|0.923135936|0.782450796|0.937316736|0.769504716
2,6100,threshold,skip,load difference below fixed threshold; diff=0.00538553; threshold=0.01,0.949774240,4.415756544,0.015463441,0.000000000,11.958214601,31.263933787,0.400384736,0.084720639,0.245937496|0.250000000|0.500937521|0.504999995|0.747812510|0.750625014|0.997812510|1.000000000,0.245937496|0.250312507|0.497187495|0.501250029|0.747187495|0.750625014|0.997187495|1.000000000,0.245937496|0.250000000|0.500937521|0.504999995|0.747812510|0.750625014|0.997812510|1.000000000,0.934692480|0.929491627|0.949774240|0.935456759|0.923541184|0.766451005|0.937765536|0.732017257
2,7100,threshold,skip,load difference below fixed threshold; diff=0.00589625; threshold=0.01,0.949866400,4.347387755,0.014115858,0.000000000,12.908081001,35.611321542,0.414500594,0.084720639,0.245937496|0.250000000|0.500937521|0.504999995|0.747812510|0.750625014|0.997812510|1.000000000,0.245937496|0.250000000|0.496874988|0.500937521|0.746874988|0.750625014|0.996874988|1.000000000,0.245937496|0.250000000|0.500937521|0.504999995|0.747812510|0.750625014|0.997812510|1.000000000,0.934294976|0.938678679|0.949866400|0.941248130|0.922514016|0.746632234|0.937070240|0.682755692
2,8100,threshold,skip,load difference below fixed threshold; diff=0.00590453; threshold=0.01,0.949794208,4.352917935,0.016725468,0.000000000,13.857875209,39.964239477,0.431226062,0.084720639,0.245937496|0.250000000|0.500937521|0.504999995|0.747812510|0.750625014|0.997812510|1.000000000,0.245937496|0.250000000|0.496874988|0.500937521|0.746874988|0.750312507|0.996874988|1.000000000,0.245937496|0.250000000|0.500937521|0.504999995|0.747812510|0.750625014|0.997812510|1.000000000,0.934632800|0.930090515|0.949794208|0.932691430|0.922885376|0.738882611|0.937130720|0.659546241
2,9100,threshold,skip,load difference below fixed threshold; diff=0.00634306; threshold=0.01,0.949971360,4.368691002,0.015795116,0.000000000,14.807846569,44.332930479,0.447021178,0.084720639,0.245937496|0.250000000|0.500937521|0.504999995|0.747812510|0.750625014|0.997812510|1.000000000,0.245625004|0.250000000|0.496562511|0.500625014|0.746874988|0.750312507|0.996874988|1.000000000,0.245937496|0.250000000|0.500937521|0.504999995|0.747812510|0.750625014|0.997812510|1.000000000,0.934850528|0.928018900|0.949971360|0.928355499|0.921914976|0.719893139|0.937107936|0.641854476
