Max_Volume_Bytes	m_TempoPorByte	b_Latencia
1024	8.18359e-10	6.9841e-05
1500	7.20636e-07	0
2048	0	0.000413702
4096	0	0.000398826
8192	8.6709e-09	0.000336838
16384	7.74109e-09	0.000344455
32768	9.03891e-09	0.000323192
65536	1.20586e-08	0.000224244
131072	1.84984e-08	0
262144	1.25964e-08	0.000575788
524288	1.92511e-08	0
1048576	1.96932e-08	0
4194304	1.70756e-08	0.00134433
16777216	1.83368e-08	0
