run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
9,100,threshold,rebalance,accepted by fixed threshold; diff=0.244745; threshold=0.1,5.450180248,5.160007066,0.290421084,0.073192425,5.450180248,5.160007066,0.290421084,0.073192425,0.125000000|0.250000000|0.375000000|0.500000000|0.625000000|0.750000000|0.875000000|1.000000000,0.244062498|0.248125002|0.499062508|0.502812505|0.748437524|0.751250029|0.997812510|1.000000000,0.244062498|0.248125002|0.499062508|0.502812505|0.748437524|0.751250029|0.997812510|1.000000000,0.049354752|3.008617629|0.048065280|3.062216033|0.049107552|4.279635204|0.048857280|5.450180248
9,1100,scheduled,skip,static balance already attempted,1.425243843,4.228636979,0.000000000,0.000000000,6.875424091,9.388644045,0.290421084,0.073192425,0.244062498|0.248125002|0.499062508|0.502812505|0.748437524|0.751250029|0.997812510|1.000000000,,0.244062498|0.248125002|0.499062508|0.502812505|0.748437524|0.751250029|0.997812510|1.000000000,0.927588960|0.974654184|0.951298720|1.082094691|0.933599584|1.425243843|0.934995744|1.360113203
9,2100,scheduled,skip,static balance already attempted,1.249444495,4.225309702,0.000000000,0.000000000,8.124868586,13.613953747,0.290421084,0.073192425,0.244062498|0.248125002|0.499062508|0.502812505|0.748437524|0.751250029|0.997812510|1.000000000,,0.244062498|0.248125002|0.499062508|0.502812505|0.748437524|0.751250029|0.997812510|1.000000000,0.927170144|0.942592621|0.950189120|0.930834877|0.933236416|1.072019847|0.935017760|1.249444495
9,3100,scheduled,skip,static balance already attempted,1.047441648,4.251340555,0.000000000,0.000000000,9.172310234,17.865294302,0.290421084,0.073192425,0.244062498|0.248125002|0.499062508|0.502812505|0.748437524|0.751250029|0.997812510|1.000000000,,0.244062498|0.248125002|0.499062508|0.502812505|0.748437524|0.751250029|0.997812510|1.000000000,0.927003968|0.931802368|0.950144512|0.902585779|0.932647200|0.891009377|0.934902432|1.047441648
9,4100,scheduled,skip,static balance already attempted,0.950329184,4.305598132,0.000000000,0.000000000,10.122639418,22.170892434,0.290421084,0.073192425,0.244062498|0.248125002|0.499062508|0.502812505|0.748437524|0.751250029|0.997812510|1.000000000,,0.244062498|0.248125002|0.499062508|0.502812505|0.748437524|0.751250029|0.997812510|1.000000000,0.926919904|0.931544699|0.950329184|0.890938909|0.933054432|0.822414479|0.934964640|0.854589363
9,5100,scheduled,skip,static balance already attempted,0.950213472,4.306339502,0.000000000,0.000000000,11.072852890,26.477231936,0.290421084,0.073192425,0.244062498|0.248125002|0.499062508|0.502812505|0.748437524|0.751250029|0.997812510|1.000000000,,0.244062498|0.248125002|0.499062508|0.502812505|0.748437524|0.751250029|0.997812510|1.000000000,0.926816096|0.928037223|0.950213472|0.889828733|0.933000736|0.789080117|0.934996768|0.766472751
9,6100,scheduled,skip,static balance already attempted,0.949994176,4.329300871,0.000000000,0.000000000,12.022847066,30.806532807,0.290421084,0.073192425,0.244062498|0.248125002|0.499062508|0.502812505|0.748437524|0.751250029|0.997812510|1.000000000,,0.244062498|0.248125002|0.499062508|0.502812505|0.748437524|0.751250029|0.997812510|1.000000000,0.927099040|0.936108922|0.949994176|0.877683556|0.932738720|0.755762734|0.935180928|0.730593910
9,7100,scheduled,skip,static balance already attempted,0.950136512,4.286261859,0.000000000,0.000000000,12.972983578,35.092794666,0.290421084,0.073192425,0.244062498|0.248125002|0.499062508|0.502812505|0.748437524|0.751250029|0.997812510|1.000000000,,0.244062498|0.248125002|0.499062508|0.502812505|0.748437524|0.751250029|0.997812510|1.000000000,0.927059520|0.932299452|0.950136512|0.879634566|0.933031552|0.745778072|0.934458496|0.682550749
9,8100,scheduled,skip,static balance already attempted,0.949833216,4.314730756,0.000000000,0.000000000,13.922816794,39.407525422,0.290421084,0.073192425,0.244062498|0.248125002|0.499062508|0.502812505|0.748437524|0.751250029|0.997812510|1.000000000,,0.244062498|0.248125002|0.499062508|0.502812505|0.748437524|0.751250029|0.997812510|1.000000000,0.926584608|0.928580640|0.949833216|0.876311983|0.933358048|0.739771749|0.935294080|0.675295511
9,9100,scheduled,skip,static balance already attempted,0.950196224,4.321184799,0.000000000,0.000000000,14.873013018,43.728710221,0.290421084,0.073192425,0.244062498|0.248125002|0.499062508|0.502812505|0.748437524|0.751250029|0.997812510|1.000000000,,0.244062498|0.248125002|0.499062508|0.502812505|0.748437524|0.751250029|0.997812510|1.000000000,0.927644288|0.947262069|0.950196224|0.872897946|0.933296128|0.732547973|0.934668640|0.649067941
