run_id,compute_accum_s,comm_accum_s,balance_accum_s,rebalance_apply_accum_s
1,14.863524094,44.257371356,0.290761369,0.067446035
2,14.819130342,44.617445580,0.303100699,0.085400969
3,14.832257527,42.947187147,0.298290670,0.080907733
4,14.891161855,43.994349032,0.292968634,0.074779003
5,14.897936027,44.212922141,0.298547431,0.079753979
6,14.868923934,42.855130992,0.288978388,0.069326468
7,14.999926223,43.987013755,0.305285695,0.087478773
8,14.900269033,44.255656331,0.302429563,0.084163475
9,14.873013018,43.728710221,0.290421084,0.073192425
10,14.946198320,43.447282054,0.343146172,0.124959393
