run_id,compute_accum_s,comm_accum_s,balance_accum_s,rebalance_apply_accum_s
1,25.409621821,26.499695301,0.569349010,0.264999461
2,25.407992583,25.903491093,0.573336742,0.271863508
3,25.380853048,25.897383761,0.486703271,0.187614391
4,25.514628619,25.754673434,0.556820698,0.261691919
5,25.531392896,25.967267066,0.582030542,0.276527402
6,25.385627729,25.853787234,0.547427296,0.248569563
7,25.401550406,26.479358277,0.552284630,0.249066665
8,25.490759474,26.004098225,0.539819307,0.244591242
9,25.613241024,26.042850402,0.576255639,0.274222081
10,25.390316094,25.745956233,0.500607269,0.203628397
