run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
5,100,threshold,rebalance,accepted by fixed threshold; diff=0.348957; threshold=0.0003125,10.429796128,9.401978930,0.361349447,0.145697132,10.429796128,9.401978930,0.361349447,0.145697132,0.250000000|0.500000000|0.750000000|1.000000000,0.497812510|0.505312502|0.995625019|1.000000000,0.497812510|0.505312502|0.995625019|1.000000000,0.092865248|6.127945247|0.094270528|10.429796128
5,1100,threshold,rebalance,accepted by fixed threshold; diff=0.00772452; threshold=0.0003125,2.419685532,1.887755710,0.037542756,0.025115098,12.849481660,11.289734640,0.398892203,0.170812230,0.497812510|0.505312502|0.995625019|1.000000000,0.493124992|0.499374986|0.997187495|1.000000000,0.493124992|0.499374986|0.997187495|1.000000000,1.602310560|1.918845852|1.563852160|2.419685532
5,2100,threshold,rebalance,accepted by fixed threshold; diff=0.00139757; threshold=0.0003125,1.572285664,1.838569962,0.014931994,0.005390419,14.421767324,13.128304602,0.413824197,0.176202649,0.493124992|0.499374986|0.997187495|1.000000000,0.493750006|0.500625014|0.997187495|1.000000000,0.493750006|0.500625014|0.997187495|1.000000000,1.565830944|1.386015934|1.572285664|1.503494104
5,3100,threshold,rebalance,accepted by fixed threshold; diff=0.000883904; threshold=0.0003125,1.568048576,1.835587144,0.012590286,0.000789695,15.989815900,14.963891746,0.426414483,0.176992344,0.493750006|0.500625014|0.997187495|1.000000000,0.493124992|0.500625014|0.996562481|1.000000000,0.493124992|0.500625014|0.996562481|1.000000000,1.567375712|1.448081651|1.568048576|1.269484593
5,4100,threshold,rebalance,accepted by fixed threshold; diff=0.00103641; threshold=0.0003125,1.566447072,1.806901105,0.011958432,0.002706386,17.556262972,16.770792851,0.438372915,0.179698730,0.493124992|0.500625014|0.996562481|1.000000000,0.492812514|0.500312507|0.995625019|1.000000000,0.492812514|0.500312507|0.995625019|1.000000000,1.565451776|1.538297772|1.566447072|1.239894957
5,5100,threshold,rebalance,accepted by fixed threshold; diff=0.0060029; threshold=0.0003125,1.564797504,1.830409799,0.033190947,0.023653338,19.121060476,18.601202650,0.471563862,0.203352068,0.492812514|0.500312507|0.995625019|1.000000000,0.496874988|0.504687488|0.995000005|1.000000000,0.496874988|0.504687488|0.995000005|1.000000000,1.536593280|1.518482212|1.564797504|1.370780133
5,6100,threshold,rebalance,accepted by fixed threshold; diff=0.00663647; threshold=0.0003125,1.577492288,1.804184219,0.028954654,0.019425860,20.698552764,20.405386869,0.500518516,0.222777928,0.496874988|0.504687488|0.995000005|1.000000000,0.492187500|0.500000000|0.994687498|1.000000000,0.492187500|0.500000000|0.994687498|1.000000000,1.577492288|1.567048659|1.548714208|1.447496417
5,7100,threshold,rebalance,accepted by fixed threshold; diff=0.00377595; threshold=0.0003125,1.581514656,1.813224493,0.019328292,0.009834629,22.280067420,22.218611362,0.519846808,0.232612557,0.492187500|0.500000000|0.994687498|1.000000000,0.494687498|0.502812505|0.994374990|1.000000000,0.494687498|0.502812505|0.994374990|1.000000000,1.563008960|1.559783560|1.581514656|1.449563521
5,8100,threshold,rebalance,accepted by fixed threshold; diff=0.00840271; threshold=0.0003125,1.619736813,1.904615197,0.040076108,0.031139708,23.899804233,24.123226559,0.559922916,0.263752265,0.494687498|0.502812505|0.994374990|1.000000000,0.488750011|0.496874988|0.994062483|1.000000000,0.488750011|0.496874988|0.994062483|1.000000000,1.589347264|1.619736813|1.553063200|1.459443681
5,9100,threshold,rebalance,accepted by fixed threshold; diff=0.00377593; threshold=0.0003125,1.631588663,1.844040507,0.022107626,0.012775137,25.531392896,25.967267066,0.582030542,0.276527402,0.488750011|0.496874988|0.994062483|1.000000000,0.491562486|0.499374986|0.993749976|1.000000000,0.491562486|0.499374986|0.993749976|1.000000000,1.553349728|1.631588663|1.571694368|1.482803403
