run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
3,100,threshold,rebalance,accepted by fixed threshold; diff=0.489375; threshold=0.1,17.119449350,0.000000000,0.255604697,0.089633708,17.119449350,0.000000000,0.255604697,0.089633708,0.500000000|1.000000000,0.989374995|1.000000000,0.989374995|1.000000000,0.182278464|17.119449350
3,1100,scheduled,skip,static balance already attempted,5.430958154,0.000000000,0.000000000,0.000000000,22.550407504,0.000000000,0.255604697,0.089633708,0.989374995|1.000000000,,0.989374995|1.000000000,3.059086784|5.430958154
3,2100,scheduled,skip,static balance already attempted,4.868896125,0.000000000,0.000000000,0.000000000,27.419303629,0.000000000,0.255604697,0.089633708,0.989374995|1.000000000,,0.989374995|1.000000000,3.043069600|4.868896125
3,3100,scheduled,skip,static balance already attempted,4.079132639,0.000000000,0.000000000,0.000000000,31.498436268,0.000000000,0.255604697,0.089633708,0.989374995|1.000000000,,0.989374995|1.000000000,3.110001632|4.079132639
3,4100,scheduled,skip,static balance already attempted,3.525619052,0.000000000,0.000000000,0.000000000,35.024055320,0.000000000,0.255604697,0.089633708,0.989374995|1.000000000,,0.989374995|1.000000000,3.335106208|3.525619052
3,5100,scheduled,skip,static balance already attempted,3.404153632,0.000000000,0.000000000,0.000000000,38.428208952,0.000000000,0.255604697,0.089633708,0.989374995|1.000000000,,0.989374995|1.000000000,3.404153632|3.156141942
3,6100,scheduled,skip,static balance already attempted,3.440112224,0.000000000,0.000000000,0.000000000,41.868321176,0.000000000,0.255604697,0.089633708,0.989374995|1.000000000,,0.989374995|1.000000000,3.440112224|2.922237008
3,7100,scheduled,skip,static balance already attempted,3.446995232,0.000000000,0.000000000,0.000000000,45.315316408,0.000000000,0.255604697,0.089633708,0.989374995|1.000000000,,0.989374995|1.000000000,3.446995232|2.751506751
3,8100,scheduled,skip,static balance already attempted,3.456183456,0.000000000,0.000000000,0.000000000,48.771499864,0.000000000,0.255604697,0.089633708,0.989374995|1.000000000,,0.989374995|1.000000000,3.456183456|2.627854529
3,9100,scheduled,skip,static balance already attempted,3.451780960,0.000000000,0.000000000,0.000000000,52.223280824,0.000000000,0.255604697,0.089633708,0.989374995|1.000000000,,0.989374995|1.000000000,3.451780960|2.527571639
