run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
9,100,threshold,rebalance,accepted by fixed threshold; diff=0.489375; threshold=0.1,17.224567724,0.000000000,0.256503102,0.089541671,17.224567724,0.000000000,0.256503102,0.089541671,0.500000000|1.000000000,0.989374995|1.000000000,0.989374995|1.000000000,0.182487360|17.224567724
9,1100,scheduled,skip,static balance already attempted,5.422869495,0.000000000,0.000000000,0.000000000,22.647437219,0.000000000,0.256503102,0.089541671,0.989374995|1.000000000,,0.989374995|1.000000000,3.064842400|5.422869495
9,2100,scheduled,skip,static balance already attempted,4.918039453,0.000000000,0.000000000,0.000000000,27.565476672,0.000000000,0.256503102,0.089541671,0.989374995|1.000000000,,0.989374995|1.000000000,3.043400032|4.918039453
9,3100,scheduled,skip,static balance already attempted,4.078695970,0.000000000,0.000000000,0.000000000,31.644172642,0.000000000,0.256503102,0.089541671,0.989374995|1.000000000,,0.989374995|1.000000000,3.108826496|4.078695970
9,4100,scheduled,skip,static balance already attempted,3.510331696,0.000000000,0.000000000,0.000000000,35.154504338,0.000000000,0.256503102,0.089541671,0.989374995|1.000000000,,0.989374995|1.000000000,3.324411648|3.510331696
9,5100,scheduled,skip,static balance already attempted,3.422600576,0.000000000,0.000000000,0.000000000,38.577104914,0.000000000,0.256503102,0.089541671,0.989374995|1.000000000,,0.989374995|1.000000000,3.422600576|3.180831040
9,6100,scheduled,skip,static balance already attempted,3.446084832,0.000000000,0.000000000,0.000000000,42.023189746,0.000000000,0.256503102,0.089541671,0.989374995|1.000000000,,0.989374995|1.000000000,3.446084832|2.916214434
9,7100,scheduled,skip,static balance already attempted,3.449321472,0.000000000,0.000000000,0.000000000,45.472511218,0.000000000,0.256503102,0.089541671,0.989374995|1.000000000,,0.989374995|1.000000000,3.449321472|2.758996776
9,8100,scheduled,skip,static balance already attempted,3.450161504,0.000000000,0.000000000,0.000000000,48.922672722,0.000000000,0.256503102,0.089541671,0.989374995|1.000000000,,0.989374995|1.000000000,3.450161504|2.621929958
9,9100,scheduled,skip,static balance already attempted,3.467589632,0.000000000,0.000000000,0.000000000,52.390262354,0.000000000,0.256503102,0.089541671,0.989374995|1.000000000,,0.989374995|1.000000000,3.467589632|2.521603565
