run_id,compute_accum_s,comm_accum_s,balance_accum_s,rebalance_apply_accum_s
1,26.236470760,25.934340463,0.355099892,0.144274904
2,26.373084029,25.796325582,0.372497981,0.156315302
3,26.300790674,26.225136718,0.384911412,0.175109534
4,26.351138364,26.253216567,0.367871110,0.146424750
5,26.339646844,25.914251965,0.354333365,0.145149895
6,26.490726650,25.769714948,0.364251249,0.147961862
7,26.297344669,25.767317891,0.356695751,0.146655630
8,26.266885014,25.790310434,0.353850479,0.137773682
9,26.317418693,25.742134345,0.356368816,0.146248135
10,26.257414618,25.927579881,0.354034581,0.144619555
