run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
2,100,profiled,rebalance,adaptive decision accepted; remaining_iterations=9900; gain_total=52.5532; migration_cost=0.0204809; max_migrated_bytes=1040000; T_comp_int_per_iter=0.00540532; T_comp_bal_per_iter=9.69172e-05,5.405322687,5.118540469,0.289842830,0.071119810,5.405322687,5.118540469,0.289842830,0.071119810,0.125000000|0.250000000|0.375000000|0.500000000|0.625000000|0.750000000|0.875000000|1.000000000,0.247500002|0.251249999|0.500312507|0.504062474|0.747812510|0.750625014|0.997812510|1.000000000,0.247500002|0.251249999|0.500312507|0.504062474|0.747812510|0.750625014|0.997812510|1.000000000,0.048655264|3.015969981|0.048366720|3.058260785|0.049419520|4.307432052|0.048679232|5.405322687
2,1100,profiled,rebalance,adaptive decision accepted; remaining_iterations=8900; gain_total=3.76503; migration_cost=0.0110282; max_migrated_bytes=560000; T_comp_int_per_iter=0.00140362; T_comp_bal_per_iter=0.000980584,1.403621316,4.242582562,0.028317203,0.011356191,6.808944003,9.361123031,0.318160033,0.082476001,0.247500002|0.251249999|0.500312507|0.504062474|0.747812510|0.750625014|0.997812510|1.000000000,0.247187495|0.250937492|0.498750001|0.501874983|0.748749971|0.750625014|0.998437524|1.000000000,0.247187495|0.250937492|0.498750001|0.501874983|0.748749971|0.750625014|0.998437524|1.000000000,0.940628224|0.925927630|0.944616768|1.078489524|0.926968736|1.403621316|0.937078720|1.372818151
2,2100,profiled,skip,adaptive decision rejected; remaining_iterations=7900; gain_total=0; migration_cost=0.00147987; max_migrated_bytes=80000; T_comp_int_per_iter=0.000947752; T_comp_bal_per_iter=0.000968356,0.947752408,4.288795332,0.017727340,0.000000000,7.756696411,13.649918363,0.335887373,0.082476001,0.247187495|0.250937492|0.498750001|0.501874983|0.748749971|0.750625014|0.998437524|1.000000000,0.246875003|0.250625014|0.498124987|0.501874983|0.748749971|0.750937521|0.998437524|1.000000000,0.247187495|0.250937492|0.498750001|0.501874983|0.748749971|0.750625014|0.998437524|1.000000000,0.939235776|0.892341953|0.939251840|0.806963536|0.937710688|0.764540417|0.939079008|0.947752408
2,3100,profiled,skip,adaptive decision rejected; remaining_iterations=6900; gain_total=0; migration_cost=0.00259121; max_migrated_bytes=160000; T_comp_int_per_iter=0.000938915; T_comp_bal_per_iter=0.000971885,0.938914560,4.305445316,0.017869118,0.000000000,8.695610971,17.955363679,0.353756491,0.082476001,0.247187495|0.250937492|0.498750001|0.501874983|0.748749971|0.750625014|0.998437524|1.000000000,0.246562496|0.250625014|0.497812510|0.501562476|0.748125017|0.750937521|0.998125017|1.000000000,0.247187495|0.250937492|0.498750001|0.501874983|0.748749971|0.750625014|0.998437524|1.000000000,0.938914560|0.879115416|0.938814464|0.784787631|0.937429472|0.647923159|0.938568608|0.788563319
2,4100,profiled,rebalance,adaptive decision accepted; remaining_iterations=5900; gain_total=0.0130429; migration_cost=0.00259121; max_migrated_bytes=160000; T_comp_int_per_iter=0.000939247; T_comp_bal_per_iter=0.000937036,0.939246560,4.295738452,0.024121361,0.007694844,9.634857531,22.251102131,0.377877852,0.090170845,0.247187495|0.250937492|0.498750001|0.501874983|0.748749971|0.750625014|0.998437524|1.000000000,0.246562496|0.250312507|0.497500002|0.501250029|0.747812510|0.750625014|0.997812510|1.000000000,0.246562496|0.250312507|0.497500002|0.501250029|0.747812510|0.750625014|0.997812510|1.000000000,0.939234400|0.883160468|0.938639552|0.773900016|0.938223520|0.597334752|0.939246560|0.652181043
2,5100,profiled,skip,adaptive decision rejected; remaining_iterations=4900; gain_total=0; migration_cost=0.00147987; max_migrated_bytes=80000; T_comp_int_per_iter=0.000937449; T_comp_bal_per_iter=0.000956269,0.937448512,4.338261816,0.015890869,0.000000000,10.572306043,26.589363947,0.393768721,0.090170845,0.246562496|0.250312507|0.497500002|0.501250029|0.747812510|0.750625014|0.997812510|1.000000000,0.246250004|0.250312507|0.496874988|0.500937521|0.747187495|0.750312507|0.997500002|1.000000000,0.246562496|0.250312507|0.497500002|0.501250029|0.747812510|0.750625014|0.997812510|1.000000000,0.937202368|0.881580272|0.937448512|0.882709784|0.937361312|0.784942351|0.936812768|0.783530031
2,6100,profiled,skip,adaptive decision rejected; remaining_iterations=3900; gain_total=0; migration_cost=0.00259121; max_migrated_bytes=160000; T_comp_int_per_iter=0.000937511; T_comp_bal_per_iter=0.000952866,0.937510656,4.384746312,0.016244335,0.000000000,11.509816699,30.974110259,0.410013056,0.090170845,0.246562496|0.250312507|0.497500002|0.501250029|0.747812510|0.750625014|0.997812510|1.000000000,0.246250004|0.250312507|0.496874988|0.500625014|0.746874988|0.750312507|0.997187495|1.000000000,0.246562496|0.250312507|0.497500002|0.501250029|0.747812510|0.750625014|0.997812510|1.000000000,0.936491584|0.879568941|0.937510656|0.886812455|0.937181728|0.766724279|0.936218656|0.721533571
2,7100,profiled,rebalance,adaptive decision accepted; remaining_iterations=2900; gain_total=0.00343532; migration_cost=0.00259121; max_migrated_bytes=160000; T_comp_int_per_iter=0.000937013; T_comp_bal_per_iter=0.000935828,0.937012800,4.322792393,0.022767212,0.006921949,12.446829499,35.296902652,0.432780268,0.097092794,0.246562496|0.250312507|0.497500002|0.501250029|0.747812510|0.750625014|0.997812510|1.000000000,0.246250004|0.250000000|0.496874988|0.500625014|0.746874988|0.750312507|0.997187495|1.000000000,0.246250004|0.250000000|0.496874988|0.500625014|0.746874988|0.750312507|0.997187495|1.000000000,0.936304384|0.883929003|0.937012800|0.876994725|0.936171424|0.752449603|0.936844960|0.698442143
2,8100,profiled,skip,adaptive decision rejected; remaining_iterations=1900; gain_total=0.00170532; migration_cost=0.00259121; max_migrated_bytes=160000; T_comp_int_per_iter=0.000936305; T_comp_bal_per_iter=0.000935408,0.936305088,4.303187350,0.015278015,0.000000000,13.383134587,39.600090002,0.448058283,0.097092794,0.246250004|0.250000000|0.496874988|0.500625014|0.746874988|0.750312507|0.997187495|1.000000000,0.245937496|0.249687493|0.496250004|0.500000000|0.746249974|0.750000000|0.996874988|1.000000000,0.246250004|0.250000000|0.496874988|0.500625014|0.746874988|0.750312507|0.997187495|1.000000000,0.936107712|0.878699903|0.936305088|0.885015209|0.934683104|0.850151125|0.935407552|0.803820541
2,9100,profiled,skip,adaptive decision rejected; remaining_iterations=900; gain_total=0; migration_cost=0.00147987; max_migrated_bytes=80000; T_comp_int_per_iter=0.000936055; T_comp_bal_per_iter=0.000965738,0.936055136,4.316235853,0.015882157,0.000000000,14.319189723,43.916325855,0.463940440,0.097092794,0.246250004|0.250000000|0.496874988|0.500625014|0.746874988|0.750312507|0.997187495|1.000000000,0.245625004|0.249687493|0.496250004|0.500312507|0.746562481|0.750312507|0.996562481|1.000000000,0.246250004|0.250000000|0.496874988|0.500625014|0.746874988|0.750312507|0.997187495|1.000000000,0.936055136|0.875508029|0.935297792|0.875143906|0.934773024|0.836779236|0.935847872|0.790149102
