run_id,compute_accum_s,comm_accum_s,balance_accum_s,rebalance_apply_accum_s
1,49.911570564,0.000000000,0.338461717,0.094833730
2,49.956124904,0.000000000,0.338330812,0.094974524
3,49.910894655,0.000000000,0.343094274,0.094879545
4,49.989107490,0.000000000,0.336400478,0.094105003
5,49.833755746,0.000000000,0.340524616,0.093894169
6,49.892939383,0.000000000,0.338800970,0.094794750
7,49.902556941,0.000000000,0.338895801,0.095273225
8,49.876799730,0.000000000,0.338676270,0.094827928
9,49.918882740,0.000000000,0.337673581,0.094309348
10,49.939152751,0.000000000,0.340007380,0.095444705
