run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
2,100,profiled,rebalance,adaptive decision accepted; remaining_iterations=9900; gain_total=166.358; migration_cost=0; max_migrated_bytes=0; T_comp_int_per_iter=0.0171686; T_comp_bal_per_iter=0.000364834,17.168639859,0.000000000,0.256281021,0.089601784,17.168639859,0.000000000,0.256281021,0.089601784,0.500000000|1.000000000,0.989374995|1.000000000,0.989374995|1.000000000,0.182168352|17.168639859
2,1100,profiled,rebalance,adaptive decision accepted; remaining_iterations=8900; gain_total=20.9403; migration_cost=0; max_migrated_bytes=0; T_comp_int_per_iter=0.0054281; T_comp_bal_per_iter=0.00307526,5.428098869,0.000000000,0.011888708,0.001787514,22.596738728,0.000000000,0.268169729,0.091389298,0.989374995|1.000000000,0.994062483|1.000000000,0.994062483|1.000000000,3.060755360|5.428098869
2,2100,profiled,skip,adaptive decision rejected; remaining_iterations=7900; gain_total=0; migration_cost=0; max_migrated_bytes=0; T_comp_int_per_iter=0.00339809; T_comp_bal_per_iter=0.00345958,3.398091168,0.000000000,0.008468797,0.000000000,25.994829896,0.000000000,0.276638526,0.091389298,0.994062483|1.000000000,0.992812514|1.000000000,0.994062483|1.000000000,3.398091168|2.857911363
2,3100,profiled,rebalance,adaptive decision accepted; remaining_iterations=6900; gain_total=0.0593039; migration_cost=0; max_migrated_bytes=0; T_comp_int_per_iter=0.00341749; T_comp_bal_per_iter=0.0034089,3.417494400,0.000000000,0.009418357,0.001009484,29.412324296,0.000000000,0.286056883,0.092398782,0.994062483|1.000000000,0.991562486|1.000000000,0.991562486|1.000000000,3.417494400|2.394414937
2,4100,profiled,rebalance,adaptive decision accepted; remaining_iterations=5900; gain_total=0.0380811; migration_cost=0; max_migrated_bytes=0; T_comp_int_per_iter=0.00341331; T_comp_bal_per_iter=0.00340686,3.413314976,0.000000000,0.009292713,0.000829154,32.825639272,0.000000000,0.295349596,0.093227936,0.991562486|1.000000000,0.989687502|1.000000000,0.989687502|1.000000000,3.413314976|2.768424476
2,5100,profiled,skip,adaptive decision rejected; remaining_iterations=4900; gain_total=0; migration_cost=0; max_migrated_bytes=0; T_comp_int_per_iter=0.00341034; T_comp_bal_per_iter=0.00341841,3.410339616,0.000000000,0.008253407,0.000000000,36.235978888,0.000000000,0.303603003,0.093227936,0.989687502|1.000000000,0.988437474|1.000000000,0.989687502|1.000000000,3.410339616|3.048848960
2,6100,profiled,skip,adaptive decision rejected; remaining_iterations=3900; gain_total=0; migration_cost=0; max_migrated_bytes=0; T_comp_int_per_iter=0.00340906; T_comp_bal_per_iter=0.00344282,3.409060352,0.000000000,0.008287489,0.000000000,39.645039240,0.000000000,0.311890492,0.093227936,0.989687502|1.000000000,0.987500012|1.000000000,0.989687502|1.000000000,3.409060352|2.840327539
2,7100,profiled,skip,adaptive decision rejected; remaining_iterations=2900; gain_total=0; migration_cost=0; max_migrated_bytes=0; T_comp_int_per_iter=0.0034295; T_comp_bal_per_iter=0.0034544,3.429500992,0.000000000,0.008261299,0.000000000,43.074540232,0.000000000,0.320151791,0.093227936,0.989687502|1.000000000,0.986562490|1.000000000,0.989687502|1.000000000,3.429500992|2.651047354
2,8100,profiled,skip,adaptive decision rejected; remaining_iterations=1900; gain_total=0; migration_cost=0; max_migrated_bytes=0; T_comp_int_per_iter=0.00343997; T_comp_bal_per_iter=0.00345956,3.439971008,0.000000000,0.008209757,0.000000000,46.514511240,0.000000000,0.328361548,0.093227936,0.989687502|1.000000000,0.985937476|1.000000000,0.989687502|1.000000000,3.439971008|2.537013778
2,9100,profiled,rebalance,adaptive decision accepted; remaining_iterations=900; gain_total=0.0127145; migration_cost=0; max_migrated_bytes=0; T_comp_int_per_iter=0.00344161; T_comp_bal_per_iter=0.00342749,3.441613664,0.000000000,0.009969264,0.001746588,49.956124904,0.000000000,0.338330812,0.094974524,0.989687502|1.000000000,0.985625029|1.000000000,0.985625029|1.000000000,3.441613664|2.442523800
