run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
3,100,threshold,rebalance,accepted by fixed threshold; diff=0.247246; threshold=0.01,5.406194652,5.275412207,0.296851820,0.073369124,5.406194652,5.275412207,0.296851820,0.073369124,0.125000000|0.250000000|0.375000000|0.500000000|0.625000000|0.750000000|0.875000000|1.000000000,0.247500002|0.251562506|0.500625014|0.504374981|0.748437524|0.751250029|0.997812510|1.000000000,0.247500002|0.251562506|0.500625014|0.504374981|0.748437524|0.751250029|0.997812510|1.000000000,0.048738944|3.019535678|0.048473568|3.064600240|0.049427360|4.306170067|0.048967552|5.406194652
3,1100,scheduled,skip,static balance already attempted,1.405270534,4.288785108,0.000000000,0.000000000,6.811465186,9.564197315,0.296851820,0.073369124,0.247500002|0.251562506|0.500625014|0.504374981|0.748437524|0.751250029|0.997812510|1.000000000,,0.247500002|0.251562506|0.500625014|0.504374981|0.748437524|0.751250029|0.997812510|1.000000000,0.938543744|0.983193749|0.944388288|1.078068429|0.927645120|1.405270534|0.935108384|1.382970340
3,2100,scheduled,skip,static balance already attempted,1.256557252,4.320920958,0.000000000,0.000000000,8.068022438,13.885118273,0.296851820,0.073369124,0.247500002|0.251562506|0.500625014|0.504374981|0.748437524|0.751250029|0.997812510|1.000000000,,0.247500002|0.251562506|0.500625014|0.504374981|0.748437524|0.751250029|0.997812510|1.000000000,0.938661536|0.950205698|0.944331648|0.938338986|0.927585088|1.065178088|0.934882976|1.256557252
3,3100,scheduled,skip,static balance already attempted,1.036515203,4.343262227,0.000000000,0.000000000,9.104537641,18.228380500,0.296851820,0.073369124,0.247500002|0.251562506|0.500625014|0.504374981|0.748437524|0.751250029|0.997812510|1.000000000,,0.247500002|0.251562506|0.500625014|0.504374981|0.748437524|0.751250029|0.997812510|1.000000000,0.938216384|0.933139683|0.943597952|0.903929654|0.927033600|0.879642440|0.934238432|1.036515203
3,4100,scheduled,skip,static balance already attempted,0.943231360,4.369328049,0.000000000,0.000000000,10.047769001,22.597708549,0.296851820,0.073369124,0.247500002|0.251562506|0.500625014|0.504374981|0.748437524|0.751250029|0.997812510|1.000000000,,0.247500002|0.251562506|0.500625014|0.504374981|0.748437524|0.751250029|0.997812510|1.000000000,0.938289888|0.930867003|0.943231360|0.892291520|0.927167808|0.806369948|0.934478688|0.845124617
3,5100,scheduled,skip,static balance already attempted,0.943348960,4.404160735,0.000000000,0.000000000,10.991117961,27.001869284,0.296851820,0.073369124,0.247500002|0.251562506|0.500625014|0.504374981|0.748437524|0.751250029|0.997812510|1.000000000,,0.247500002|0.251562506|0.500625014|0.504374981|0.748437524|0.751250029|0.997812510|1.000000000,0.937891328|0.932450015|0.943348960|0.884935453|0.927422048|0.774115389|0.934920832|0.774769617
3,6100,scheduled,skip,static balance already attempted,0.943479520,4.426612624,0.000000000,0.000000000,11.934597481,31.428481908,0.296851820,0.073369124,0.247500002|0.251562506|0.500625014|0.504374981|0.748437524|0.751250029|0.997812510|1.000000000,,0.247500002|0.251562506|0.500625014|0.504374981|0.748437524|0.751250029|0.997812510|1.000000000,0.937861984|0.932869274|0.943479520|0.886430692|0.927796224|0.760551516|0.934938336|0.725935014
3,7100,scheduled,skip,static balance already attempted,0.943362080,4.415427296,0.000000000,0.000000000,12.877959561,35.843909204,0.296851820,0.073369124,0.247500002|0.251562506|0.500625014|0.504374981|0.748437524|0.751250029|0.997812510|1.000000000,,0.247500002|0.251562506|0.500625014|0.504374981|0.748437524|0.751250029|0.997812510|1.000000000,0.937863936|0.931595289|0.943362080|0.876785631|0.927133792|0.736459113|0.934897792|0.693692253
3,8100,scheduled,skip,static balance already attempted,0.943374336,4.414606810,0.000000000,0.000000000,13.821333897,40.258516014,0.296851820,0.073369124,0.247500002|0.251562506|0.500625014|0.504374981|0.748437524|0.751250029|0.997812510|1.000000000,,0.247500002|0.251562506|0.500625014|0.504374981|0.748437524|0.751250029|0.997812510|1.000000000,0.937743552|0.935525935|0.943374336|0.878308515|0.927781184|0.731663193|0.934871264|0.666828632
3,9100,scheduled,skip,static balance already attempted,0.943326112,4.390903365,0.000000000,0.000000000,14.764660009,44.649419379,0.296851820,0.073369124,0.247500002|0.251562506|0.500625014|0.504374981|0.748437524|0.751250029|0.997812510|1.000000000,,0.247500002|0.251562506|0.500625014|0.504374981|0.748437524|0.751250029|0.997812510|1.000000000,0.938165536|0.931189838|0.943326112|0.875544424|0.927155936|0.714410216|0.934472512|0.639089376
