run_id,compute_accum_s,comm_accum_s,balance_accum_s,rebalance_apply_accum_s
1,14.822979054,43.657349038,0.343552374,0.126321929
2,14.795117886,45.084980848,0.292060166,0.074177920
3,14.764660009,44.649419379,0.296851820,0.073369124
4,14.731934017,43.040683191,0.289497978,0.071983023
5,14.770928181,44.883243593,0.292493532,0.076573103
6,14.929609185,43.946098528,0.304620383,0.086503235
7,14.867783628,44.092677674,0.334084681,0.115362485
8,14.780200055,43.225411172,0.286251421,0.068682836
9,14.860485953,43.720738511,0.349622044,0.131474474
10,14.841851594,44.295246115,0.301977122,0.084379388
