run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
6,100,threshold,rebalance,accepted by fixed threshold; diff=0.246786; threshold=0.01,5.400942317,5.341320882,0.304620383,0.086503235,5.400942317,5.341320882,0.304620383,0.086503235,0.125000000|0.250000000|0.375000000|0.500000000|0.625000000|0.750000000|0.875000000|1.000000000,0.246250004|0.250312507|0.500312507|0.504374981|0.749062479|0.752187490|0.997812510|1.000000000,0.246250004|0.250312507|0.500312507|0.504374981|0.749062479|0.752187490|0.997812510|1.000000000,0.048968832|3.046388066|0.048238432|3.083263321|0.049238144|4.272304212|0.049086656|5.400942317
6,1100,scheduled,skip,static balance already attempted,1.531563320,4.252125019,0.000000000,0.000000000,6.932505637,9.593445901,0.304620383,0.086503235,0.246250004|0.250312507|0.500312507|0.504374981|0.749062479|0.752187490|0.997812510|1.000000000,,0.246250004|0.250312507|0.500312507|0.504374981|0.749062479|0.752187490|0.997812510|1.000000000,0.935794368|0.974039099|0.947457856|1.145627794|0.930223808|1.531563320|0.931105920|1.357350490
6,2100,scheduled,skip,static balance already attempted,1.264016765,4.260117837,0.000000000,0.000000000,8.196522402,13.853563738,0.304620383,0.086503235,0.246250004|0.250312507|0.500312507|0.504374981|0.749062479|0.752187490|0.997812510|1.000000000,,0.246250004|0.250312507|0.500312507|0.504374981|0.749062479|0.752187490|0.997812510|1.000000000,0.935399136|0.945309161|0.947503520|1.000156430|0.929409536|1.130113949|0.931375456|1.264016765
6,3100,scheduled,skip,static balance already attempted,1.048049862,4.271396015,0.000000000,0.000000000,9.244572264,18.124959753,0.304620383,0.086503235,0.246250004|0.250312507|0.500312507|0.504374981|0.749062479|0.752187490|0.997812510|1.000000000,,0.246250004|0.250312507|0.500312507|0.504374981|0.749062479|0.752187490|0.997812510|1.000000000,0.934915040|0.930912507|0.947073344|0.964614699|0.929267232|0.953201928|0.931176192|1.048049862
6,4100,scheduled,skip,static balance already attempted,0.951406297,4.269648031,0.000000000,0.000000000,10.195978561,22.394607784,0.304620383,0.086503235,0.246250004|0.250312507|0.500312507|0.504374981|0.749062479|0.752187490|0.997812510|1.000000000,,0.246250004|0.250312507|0.500312507|0.504374981|0.749062479|0.752187490|0.997812510|1.000000000,0.935405600|0.925476271|0.946981152|0.951406297|0.929384512|0.878480136|0.931393248|0.856028009
6,5100,scheduled,skip,static balance already attempted,0.946614752,4.299643187,0.000000000,0.000000000,11.142593313,26.694250971,0.304620383,0.086503235,0.246250004|0.250312507|0.500312507|0.504374981|0.749062479|0.752187490|0.997812510|1.000000000,,0.246250004|0.250312507|0.500312507|0.504374981|0.749062479|0.752187490|0.997812510|1.000000000,0.935452960|0.920583939|0.946614752|0.939027637|0.929404704|0.853204710|0.931732032|0.779715932
6,6100,scheduled,skip,static balance already attempted,0.946807712,4.311323386,0.000000000,0.000000000,12.089401025,31.005574357,0.304620383,0.086503235,0.246250004|0.250312507|0.500312507|0.504374981|0.749062479|0.752187490|0.997812510|1.000000000,,0.246250004|0.250312507|0.500312507|0.504374981|0.749062479|0.752187490|0.997812510|1.000000000,0.935259488|0.926738057|0.946807712|0.940271407|0.929636480|0.822639300|0.931144256|0.723807789
6,7100,scheduled,skip,static balance already attempted,0.946492992,4.296232930,0.000000000,0.000000000,13.035894017,35.301807287,0.304620383,0.086503235,0.246250004|0.250312507|0.500312507|0.504374981|0.749062479|0.752187490|0.997812510|1.000000000,,0.246250004|0.250312507|0.500312507|0.504374981|0.749062479|0.752187490|0.997812510|1.000000000,0.935005184|0.925886572|0.946492992|0.926065690|0.929578784|0.802895345|0.931157984|0.691102583
6,8100,scheduled,skip,static balance already attempted,0.947047872,4.333455662,0.000000000,0.000000000,13.982941889,39.635262949,0.304620383,0.086503235,0.246250004|0.250312507|0.500312507|0.504374981|0.749062479|0.752187490|0.997812510|1.000000000,,0.246250004|0.250312507|0.500312507|0.504374981|0.749062479|0.752187490|0.997812510|1.000000000,0.935174976|0.930215847|0.947047872|0.935752986|0.929573856|0.794419633|0.931161312|0.665952452
6,9100,scheduled,skip,static balance already attempted,0.946667296,4.310835579,0.000000000,0.000000000,14.929609185,43.946098528,0.304620383,0.086503235,0.246250004|0.250312507|0.500312507|0.504374981|0.749062479|0.752187490|0.997812510|1.000000000,,0.246250004|0.250312507|0.500312507|0.504374981|0.749062479|0.752187490|0.997812510|1.000000000,0.934930624|0.925062510|0.946667296|0.926285468|0.928883744|0.777220618|0.931603328|0.655087618
