run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
8,100,profiled,rebalance,adaptive decision accepted; remaining_iterations=9900; gain_total=100.983; migration_cost=0.0219664; max_migrated_bytes=1360000; T_comp_int_per_iter=0.0103849; T_comp_bal_per_iter=0.000184586,10.384928760,9.300795247,0.357440676,0.147090969,10.384928760,9.300795247,0.357440676,0.147090969,0.250000000|0.500000000|0.750000000|1.000000000,0.497812510|0.505312502|0.995625019|1.000000000,0.497812510|0.505312502|0.995625019|1.000000000,0.092698400|6.099515848|0.094090784|10.384928760
8,1100,profiled,rebalance,adaptive decision accepted; remaining_iterations=8900; gain_total=7.41556; migration_cost=0.0245507; max_migrated_bytes=1520000; T_comp_int_per_iter=0.00242375; T_comp_bal_per_iter=0.00159054,2.423750357,1.906464526,0.046758176,0.036319630,12.808679117,11.207259773,0.404198852,0.183410599,0.497812510|0.505312502|0.995625019|1.000000000,0.493124992|0.499374986|0.997187495|1.000000000,0.493124992|0.499374986|0.997187495|1.000000000,1.605092224|1.906620407|1.566578464|2.423750357
8,2100,profiled,skip,adaptive decision rejected; remaining_iterations=7900; gain_total=0; migration_cost=0.00505901; max_migrated_bytes=320000; T_comp_int_per_iter=0.00157187; T_comp_bal_per_iter=0.00157338,1.571872896,1.813508137,0.009659964,0.000000000,14.380552013,13.020767910,0.413858816,0.183410599,0.493124992|0.499374986|0.997187495|1.000000000,0.493437499|0.500625014|0.997187495|1.000000000,0.493124992|0.499374986|0.997187495|1.000000000,1.565831968|1.368153724|1.571872896|1.497989522
8,3100,profiled,rebalance,adaptive decision accepted; remaining_iterations=6900; gain_total=0.0402419; migration_cost=0.00505901; max_migrated_bytes=320000; T_comp_int_per_iter=0.00157236; T_comp_bal_per_iter=0.00156653,1.572358880,1.811497377,0.018825939,0.005043382,15.952910893,14.832265287,0.432684755,0.188453981,0.493124992|0.499374986|0.997187495|1.000000000,0.493437499|0.500625014|0.996562481|1.000000000,0.493437499|0.500625014|0.996562481|1.000000000,1.565534624|1.323200047|1.572358880|1.272473139
8,4100,profiled,rebalance,adaptive decision accepted; remaining_iterations=5900; gain_total=0.0116479; migration_cost=0.0014425; max_migrated_bytes=80000; T_comp_int_per_iter=0.00156654; T_comp_bal_per_iter=0.00156457,1.566542144,1.853033990,0.013067871,0.002488134,17.519453037,16.685299277,0.445752626,0.190942115,0.493437499|0.500625014|0.996562481|1.000000000,0.492812514|0.500312507|0.995625019|1.000000000,0.492812514|0.500312507|0.995625019|1.000000000,1.566433472|1.476073521|1.566542144|1.227978540
8,5100,profiled,rebalance,adaptive decision accepted; remaining_iterations=4900; gain_total=0.0722519; migration_cost=0.01809; max_migrated_bytes=1120000; T_comp_int_per_iter=0.00156504; T_comp_bal_per_iter=0.00155029,1.565036800,1.847595385,0.032146984,0.021727698,19.084489837,18.532894662,0.477899610,0.212669813,0.492812514|0.500312507|0.995625019|1.000000000,0.497187495|0.504687488|0.995312512|1.000000000,0.497187495|0.504687488|0.995312512|1.000000000,1.536649728|1.517311882|1.565036800|1.415564396
8,6100,profiled,skip,adaptive decision rejected; remaining_iterations=3900; gain_total=0.00155421; migration_cost=0.01809; max_migrated_bytes=1120000; T_comp_int_per_iter=0.00157881; T_comp_bal_per_iter=0.00157841,1.578807392,1.841433839,0.009609608,0.000000000,20.663297229,20.374328501,0.487509218,0.212669813,0.497187495|0.504687488|0.995312512|1.000000000,0.492500007|0.500312507|0.994687498|1.000000000,0.497187495|0.504687488|0.995312512|1.000000000,1.578807392|1.506251370|1.551718944|1.392713714
8,7100,profiled,skip,adaptive decision rejected; remaining_iterations=2900; gain_total=0; migration_cost=0.01809; max_migrated_bytes=1120000; T_comp_int_per_iter=0.00157856; T_comp_bal_per_iter=0.00159001,1.578560928,1.843965820,0.009858382,0.000000000,22.241858157,22.218294321,0.497367600,0.212669813,0.497187495|0.504687488|0.995312512|1.000000000,0.492500007|0.500312507|0.994374990|1.000000000,0.497187495|0.504687488|0.995312512|1.000000000,1.578560928|1.523354411|1.552509088|1.325008705
8,8100,profiled,rebalance,adaptive decision accepted; remaining_iterations=1900; gain_total=0.0274348; migration_cost=0.0193822; max_migrated_bytes=1200000; T_comp_int_per_iter=0.00157869; T_comp_bal_per_iter=0.00156425,1.578692864,1.827070537,0.031054527,0.020783596,23.820551021,24.045364858,0.528422127,0.233453409,0.497187495|0.504687488|0.995312512|1.000000000,0.492500007|0.500000000|0.994374990|1.000000000,0.492500007|0.500000000|0.994374990|1.000000000,1.578692864|1.502526689|1.552388096|1.270877769
8,9100,profiled,skip,adaptive decision rejected; remaining_iterations=900; gain_total=0; migration_cost=0.0014425; max_migrated_bytes=80000; T_comp_int_per_iter=0.00156397; T_comp_bal_per_iter=0.00159558,1.563965056,1.829283176,0.009739373,0.000000000,25.384516077,25.874648034,0.538161500,0.233453409,0.492500007|0.500000000|0.994374990|1.000000000,0.492187500|0.499687493|0.993749976|1.000000000,0.492500007|0.500000000|0.994374990|1.000000000,1.563965056|1.502806855|1.563532640|1.436021812
