run_id,total_time_s,metrics_file,timing_file,log_file
1,35.764098317,Results/np2/dynamic_profiled_profiled/metrics_run_1.csv,Results/np2/dynamic_profiled_profiled/total_time_run_1.txt,Results/np2/dynamic_profiled_profiled/logs/run_1.out
2,35.802952806,Results/np2/dynamic_profiled_profiled/metrics_run_2.csv,Results/np2/dynamic_profiled_profiled/total_time_run_2.txt,Results/np2/dynamic_profiled_profiled/logs/run_2.out
3,36.066514809,Results/np2/dynamic_profiled_profiled/metrics_run_3.csv,Results/np2/dynamic_profiled_profiled/total_time_run_3.txt,Results/np2/dynamic_profiled_profiled/logs/run_3.out
4,35.762714177,Results/np2/dynamic_profiled_profiled/metrics_run_4.csv,Results/np2/dynamic_profiled_profiled/total_time_run_4.txt,Results/np2/dynamic_profiled_profiled/logs/run_4.out
5,35.825374103,Results/np2/dynamic_profiled_profiled/metrics_run_5.csv,Results/np2/dynamic_profiled_profiled/total_time_run_5.txt,Results/np2/dynamic_profiled_profiled/logs/run_5.out
6,35.773889152,Results/np2/dynamic_profiled_profiled/metrics_run_6.csv,Results/np2/dynamic_profiled_profiled/total_time_run_6.txt,Results/np2/dynamic_profiled_profiled/logs/run_6.out
7,36.447429884,Results/np2/dynamic_profiled_profiled/metrics_run_7.csv,Results/np2/dynamic_profiled_profiled/total_time_run_7.txt,Results/np2/dynamic_profiled_profiled/logs/run_7.out
8,35.897700984,Results/np2/dynamic_profiled_profiled/metrics_run_8.csv,Results/np2/dynamic_profiled_profiled/total_time_run_8.txt,Results/np2/dynamic_profiled_profiled/logs/run_8.out
9,35.802890554,Results/np2/dynamic_profiled_profiled/metrics_run_9.csv,Results/np2/dynamic_profiled_profiled/total_time_run_9.txt,Results/np2/dynamic_profiled_profiled/logs/run_9.out
10,35.666824863,Results/np2/dynamic_profiled_profiled/metrics_run_10.csv,Results/np2/dynamic_profiled_profiled/total_time_run_10.txt,Results/np2/dynamic_profiled_profiled/logs/run_10.out
