run_id,compute_accum_s,comm_accum_s,balance_accum_s,rebalance_apply_accum_s
1,25.449602680,25.772728344,0.501310566,0.198329646
2,25.383563362,25.956548257,0.487314424,0.190437183
3,25.456944752,26.247623720,0.481106046,0.167901088
4,25.406578900,25.961266291,0.517767906,0.217674310
5,25.399820428,25.867032419,0.518029685,0.213583932
6,25.479875976,25.907505888,0.495413021,0.188414257
7,25.374107193,26.485372676,0.475246916,0.176356351
8,25.384516077,25.874648034,0.538161500,0.233453409
9,25.424003156,25.962006909,0.501640699,0.198180875
10,25.384963733,25.770066837,0.472009438,0.172314938
