run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
7,100,profiled,rebalance,adaptive decision accepted; remaining_iterations=9900; gain_total=101.06; migration_cost=0.01809; max_migrated_bytes=1120000; T_comp_int_per_iter=0.0103926; T_comp_bal_per_iter=0.000184529,10.392604367,9.314286485,0.354286364,0.144547210,10.392604367,9.314286485,0.354286364,0.144547210,0.250000000|0.500000000|0.750000000|1.000000000,0.496874988|0.504374981|0.995625019|1.000000000,0.496874988|0.504374981|0.995625019|1.000000000,0.092837824|6.125737424|0.093907904|10.392604367
7,1100,profiled,rebalance,adaptive decision accepted; remaining_iterations=8900; gain_total=7.35637; migration_cost=0.0206743; max_migrated_bytes=1280000; T_comp_int_per_iter=0.00241911; T_comp_bal_per_iter=0.00159255,2.419105738,1.955118370,0.038669998,0.027862061,12.811710105,11.269404855,0.392956362,0.172409271,0.496874988|0.504374981|0.995625019|1.000000000,0.493124992|0.499374986|0.997187495|1.000000000,0.493124992|0.499374986|0.997187495|1.000000000,1.599710720|1.911056551|1.566615296|2.419105738
7,2100,profiled,skip,adaptive decision rejected; remaining_iterations=7900; gain_total=0; migration_cost=0.00632376; max_migrated_bytes=400000; T_comp_int_per_iter=0.00157206; T_comp_bal_per_iter=0.00158974,1.572058816,1.947897839,0.009475785,0.000000000,14.383768921,13.217302694,0.402432147,0.172409271,0.493124992|0.499374986|0.997187495|1.000000000,0.493750006|0.500937521|0.997187495|1.000000000,0.493124992|0.499374986|0.997187495|1.000000000,1.565310560|1.382378390|1.572058816|1.529641645
7,3100,profiled,skip,adaptive decision rejected; remaining_iterations=6900; gain_total=0; migration_cost=0.00632376; max_migrated_bytes=400000; T_comp_int_per_iter=0.00157268; T_comp_bal_per_iter=0.00159502,1.572678464,1.955022964,0.011419538,0.000000000,15.956447385,15.172325658,0.413851685,0.172409271,0.493124992|0.499374986|0.997187495|1.000000000,0.493437499|0.500937521|0.996562481|1.000000000,0.493124992|0.499374986|0.997187495|1.000000000,1.565021376|1.329180465|1.572678464|1.285869390
7,4100,profiled,skip,adaptive decision rejected; remaining_iterations=5900; gain_total=0; migration_cost=0.00348191; max_migrated_bytes=240000; T_comp_int_per_iter=0.00157189; T_comp_bal_per_iter=0.00157317,1.571893696,1.862850451,0.009192509,0.000000000,17.528341081,17.035176109,0.423044194,0.172409271,0.493124992|0.499374986|0.997187495|1.000000000,0.492812514|0.500312507|0.995937526|1.000000000,0.493124992|0.499374986|0.997187495|1.000000000,1.565187456|1.310977480|1.571893696|1.055144965
7,5100,profiled,skip,adaptive decision rejected; remaining_iterations=4900; gain_total=0; migration_cost=0.00348191; max_migrated_bytes=240000; T_comp_int_per_iter=0.0015732; T_comp_bal_per_iter=0.00161535,1.573201920,1.877002162,0.010013283,0.000000000,19.101543001,18.912178271,0.433057477,0.172409271,0.493124992|0.499374986|0.997187495|1.000000000,0.492812514|0.500312507|0.995312512|1.000000000,0.493124992|0.499374986|0.997187495|1.000000000,1.565383520|1.298067230|1.573201920|0.969209266
7,6100,profiled,skip,adaptive decision rejected; remaining_iterations=3900; gain_total=0; migration_cost=0.00348191; max_migrated_bytes=240000; T_comp_int_per_iter=0.00157267; T_comp_bal_per_iter=0.00158306,1.572670208,1.931487373,0.009345531,0.000000000,20.674213209,20.843665644,0.442403008,0.172409271,0.493124992|0.499374986|0.997187495|1.000000000,0.492812514|0.500312507|0.995000005|1.000000000,0.493124992|0.499374986|0.997187495|1.000000000,1.564772224|1.301791810|1.572670208|0.890468895
7,7100,profiled,rebalance,adaptive decision accepted; remaining_iterations=2900; gain_total=0.0257668; migration_cost=0.00251015; max_migrated_bytes=160000; T_comp_int_per_iter=0.00157266; T_comp_bal_per_iter=0.00156378,1.572662240,1.941845821,0.013617722,0.003947080,22.246875449,22.785511465,0.456020730,0.176356351,0.493124992|0.499374986|0.997187495|1.000000000,0.492500007|0.500000000|0.995000005|1.000000000,0.492500007|0.500000000|0.995000005|1.000000000,1.564972640|1.298530245|1.572662240|0.855184197
7,8100,profiled,skip,adaptive decision rejected; remaining_iterations=1900; gain_total=0; migration_cost=0.0014425; max_migrated_bytes=80000; T_comp_int_per_iter=0.00156354; T_comp_bal_per_iter=0.00157151,1.563537792,1.861220382,0.009642007,0.000000000,23.810413241,24.646731847,0.465662737,0.176356351,0.492500007|0.500000000|0.995000005|1.000000000,0.491874993|0.499687493|0.994062483|1.000000000,0.492500007|0.500000000|0.995000005|1.000000000,1.563537792|1.502606525|1.563099456|1.323373260
7,9100,profiled,skip,adaptive decision rejected; remaining_iterations=900; gain_total=0; migration_cost=0.00251015; max_migrated_bytes=160000; T_comp_int_per_iter=0.00156369; T_comp_bal_per_iter=0.0015962,1.563693952,1.838640829,0.009584179,0.000000000,25.374107193,26.485372676,0.475246916,0.176356351,0.492500007|0.500000000|0.995000005|1.000000000,0.491562486|0.499374986|0.993749976|1.000000000,0.492500007|0.500000000|0.995000005|1.000000000,1.563693952|1.512863360|1.562956096|1.276959563
