run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
9,100,profiled,rebalance,adaptive decision accepted; remaining_iterations=9900; gain_total=101.586; migration_cost=0.0219664; max_migrated_bytes=1360000; T_comp_int_per_iter=0.0104456; T_comp_bal_per_iter=0.000184447,10.445631910,9.294629156,0.355530760,0.144494299,10.445631910,9.294629156,0.355530760,0.144494299,0.250000000|0.500000000|0.750000000|1.000000000,0.497812510|0.505312502|0.995625019|1.000000000,0.497812510|0.505312502|0.995625019|1.000000000,0.092610752|6.094489839|0.094045536|10.445631910
9,1100,profiled,rebalance,adaptive decision accepted; remaining_iterations=8900; gain_total=7.3766; migration_cost=0.0232586; max_migrated_bytes=1440000; T_comp_int_per_iter=0.00241704; T_comp_bal_per_iter=0.00158821,2.417037806,1.920356902,0.043083786,0.032287226,12.862669716,11.214986058,0.398614546,0.176781525,0.497812510|0.505312502|0.995625019|1.000000000,0.493437499|0.499687493|0.997187495|1.000000000,0.493437499|0.499687493|0.997187495|1.000000000,1.602287552|1.903619212|1.564487520|2.417037806
9,2100,profiled,skip,adaptive decision rejected; remaining_iterations=7900; gain_total=0; migration_cost=0.00505901; max_migrated_bytes=320000; T_comp_int_per_iter=0.00157078; T_comp_bal_per_iter=0.00157734,1.570775008,1.892038030,0.011384904,0.000000000,14.433444724,13.107024088,0.409999450,0.176781525,0.493437499|0.499687493|0.997187495|1.000000000,0.493750006|0.500937521|0.997187495|1.000000000,0.493437499|0.499687493|0.997187495|1.000000000,1.566289824|1.371596545|1.570775008|1.508785551
9,3100,profiled,skip,adaptive decision rejected; remaining_iterations=6900; gain_total=0; migration_cost=0.00505901; max_migrated_bytes=320000; T_comp_int_per_iter=0.00157189; T_comp_bal_per_iter=0.00158951,1.571890336,1.837879575,0.010070212,0.000000000,16.005335060,14.944903663,0.420069662,0.176781525,0.493437499|0.499687493|0.997187495|1.000000000,0.493437499|0.500937521|0.996562481|1.000000000,0.493437499|0.499687493|0.997187495|1.000000000,1.565964480|1.324590811|1.571890336|1.278697898
9,4100,profiled,rebalance,adaptive decision accepted; remaining_iterations=5900; gain_total=0.0330505; migration_cost=0.00251015; max_migrated_bytes=160000; T_comp_int_per_iter=0.0015712; T_comp_bal_per_iter=0.0015656,1.571201984,1.874645813,0.012678296,0.003214656,17.576537044,16.819549476,0.432747958,0.179996181,0.493437499|0.499687493|0.997187495|1.000000000,0.492812514|0.500312507|0.995937526|1.000000000,0.492812514|0.500312507|0.995937526|1.000000000,1.565884576|1.304666835|1.571201984|1.048682295
9,5100,profiled,skip,adaptive decision rejected; remaining_iterations=4900; gain_total=0; migration_cost=0.0193822; max_migrated_bytes=1200000; T_comp_int_per_iter=0.00156712; T_comp_bal_per_iter=0.00157909,1.567117152,1.834592045,0.010729444,0.000000000,19.143654196,18.654141521,0.443477402,0.179996181,0.492812514|0.500312507|0.995937526|1.000000000,0.497187495|0.504999995|0.995312512|1.000000000,0.492812514|0.500312507|0.995937526|1.000000000,1.536257984|1.515924880|1.567117152|1.318411727
9,6100,profiled,skip,adaptive decision rejected; remaining_iterations=3900; gain_total=0; migration_cost=0.0193822; max_migrated_bytes=1200000; T_comp_int_per_iter=0.00156778; T_comp_bal_per_iter=0.00159041,1.567778624,1.860614591,0.009566096,0.000000000,20.711432820,20.514756112,0.453043498,0.179996181,0.492812514|0.500312507|0.995937526|1.000000000,0.497187495|0.504999995|0.994687498|1.000000000,0.492812514|0.500312507|0.995937526|1.000000000,1.536361760|1.503436951|1.567778624|1.216194163
9,7100,profiled,skip,adaptive decision rejected; remaining_iterations=2900; gain_total=0.017834; migration_cost=0.01809; max_migrated_bytes=1120000; T_comp_int_per_iter=0.00156754; T_comp_bal_per_iter=0.00156139,1.567535008,1.814896477,0.009791125,0.000000000,22.278967828,22.329652589,0.462834623,0.179996181,0.492812514|0.500312507|0.995937526|1.000000000,0.496874988|0.504687488|0.994687498|1.000000000,0.492812514|0.500312507|0.995937526|1.000000000,1.536308608|1.498929955|1.567535008|1.157200335
9,8100,profiled,rebalance,adaptive decision accepted; remaining_iterations=1900; gain_total=0.0296908; migration_cost=0.0176426; max_migrated_bytes=1040000; T_comp_int_per_iter=0.00156802; T_comp_bal_per_iter=0.00155239,1.568019488,1.838558728,0.028353623,0.018184694,23.846987316,24.168211317,0.491188246,0.198180875,0.492812514|0.500312507|0.995937526|1.000000000,0.496874988|0.504374981|0.994374990|1.000000000,0.496874988|0.504374981|0.994374990|1.000000000,1.537508672|1.507147176|1.568019488|1.121172532
9,9100,profiled,skip,adaptive decision rejected; remaining_iterations=900; gain_total=0; migration_cost=0.0176426; max_migrated_bytes=1040000; T_comp_int_per_iter=0.00157702; T_comp_bal_per_iter=0.00159787,1.577015840,1.793795592,0.010452453,0.000000000,25.424003156,25.962006909,0.501640699,0.198180875,0.496874988|0.504374981|0.994374990|1.000000000,0.492500007|0.500312507|0.993749976|1.000000000,0.496874988|0.504374981|0.994374990|1.000000000,1.577015840|1.501265844|1.550935904|1.438082639
