run_id,total_time_s,metrics_file,timing_file,log_file
1,55.403622046,Results/np1/dynamic_threshold_threshold_0p01/metrics_run_1.csv,Results/np1/dynamic_threshold_threshold_0p01/total_time_run_1.txt,Results/np1/dynamic_threshold_threshold_0p01/logs/run_1.out
2,56.029690914,Results/np1/dynamic_threshold_threshold_0p01/metrics_run_2.csv,Results/np1/dynamic_threshold_threshold_0p01/total_time_run_2.txt,Results/np1/dynamic_threshold_threshold_0p01/logs/run_2.out
3,56.005741149,Results/np1/dynamic_threshold_threshold_0p01/metrics_run_3.csv,Results/np1/dynamic_threshold_threshold_0p01/total_time_run_3.txt,Results/np1/dynamic_threshold_threshold_0p01/logs/run_3.out
4,55.593745724,Results/np1/dynamic_threshold_threshold_0p01/metrics_run_4.csv,Results/np1/dynamic_threshold_threshold_0p01/total_time_run_4.txt,Results/np1/dynamic_threshold_threshold_0p01/logs/run_4.out
5,55.947902951,Results/np1/dynamic_threshold_threshold_0p01/metrics_run_5.csv,Results/np1/dynamic_threshold_threshold_0p01/total_time_run_5.txt,Results/np1/dynamic_threshold_threshold_0p01/logs/run_5.out
6,55.973784515,Results/np1/dynamic_threshold_threshold_0p01/metrics_run_6.csv,Results/np1/dynamic_threshold_threshold_0p01/total_time_run_6.txt,Results/np1/dynamic_threshold_threshold_0p01/logs/run_6.out
7,55.543682189,Results/np1/dynamic_threshold_threshold_0p01/metrics_run_7.csv,Results/np1/dynamic_threshold_threshold_0p01/total_time_run_7.txt,Results/np1/dynamic_threshold_threshold_0p01/logs/run_7.out
8,55.875606498,Results/np1/dynamic_threshold_threshold_0p01/metrics_run_8.csv,Results/np1/dynamic_threshold_threshold_0p01/total_time_run_8.txt,Results/np1/dynamic_threshold_threshold_0p01/logs/run_8.out
9,56.081806800,Results/np1/dynamic_threshold_threshold_0p01/metrics_run_9.csv,Results/np1/dynamic_threshold_threshold_0p01/total_time_run_9.txt,Results/np1/dynamic_threshold_threshold_0p01/logs/run_9.out
10,55.883131418,Results/np1/dynamic_threshold_threshold_0p01/metrics_run_10.csv,Results/np1/dynamic_threshold_threshold_0p01/total_time_run_10.txt,Results/np1/dynamic_threshold_threshold_0p01/logs/run_10.out
