run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
10,100,threshold,rebalance,accepted by fixed threshold; diff=0.489375; threshold=0.01,17.162941263,0.000000000,0.256009192,0.089482354,17.162941263,0.000000000,0.256009192,0.089482354,0.500000000|1.000000000,0.989374995|1.000000000,0.989374995|1.000000000,0.182435520|17.162941263
10,1100,threshold,skip,load difference below fixed threshold; diff=0.00468749; threshold=0.01,5.418439029,0.000000000,0.009874839,0.000000000,22.581380292,0.000000000,0.265884031,0.089482354,0.989374995|1.000000000,0.994062483|1.000000000,0.989374995|1.000000000,3.057897600|5.418439029
10,2100,threshold,skip,load difference below fixed threshold; diff=0.00406253; threshold=0.01,4.861528662,0.000000000,0.009816312,0.000000000,27.442908954,0.000000000,0.275700343,0.089482354,0.989374995|1.000000000,0.993437529|1.000000000,0.989374995|1.000000000,3.042914592|4.861528662
10,3100,threshold,skip,load difference below fixed threshold; diff=0.0025; threshold=0.01,4.109408336,0.000000000,0.009373030,0.000000000,31.552317290,0.000000000,0.285073373,0.089482354,0.989374995|1.000000000,0.991874993|1.000000000,0.989374995|1.000000000,3.092102784|4.109408336
10,4100,threshold,skip,load difference below fixed threshold; diff=0.000625014; threshold=0.01,3.481900315,0.000000000,0.008200048,0.000000000,35.034217605,0.000000000,0.293273421,0.089482354,0.989374995|1.000000000,0.990000010|1.000000000,0.989374995|1.000000000,3.325271040|3.481900315
10,5100,threshold,skip,load difference below fixed threshold; diff=0.000937521; threshold=0.01,3.414892896,0.000000000,0.008281413,0.000000000,38.449110501,0.000000000,0.301554834,0.089482354,0.989374995|1.000000000,0.988437474|1.000000000,0.989374995|1.000000000,3.414892896|3.156255006
10,6100,threshold,skip,load difference below fixed threshold; diff=0.00187498; threshold=0.01,3.425407520,0.000000000,0.008230220,0.000000000,41.874518021,0.000000000,0.309785054,0.089482354,0.989374995|1.000000000,0.987500012|1.000000000,0.989374995|1.000000000,3.425407520|2.917416397
10,7100,threshold,skip,load difference below fixed threshold; diff=0.0025; threshold=0.01,3.424594400,0.000000000,0.008183776,0.000000000,45.299112421,0.000000000,0.317968830,0.089482354,0.989374995|1.000000000,0.986874998|1.000000000,0.989374995|1.000000000,3.424594400|2.745317707
10,8100,threshold,skip,load difference below fixed threshold; diff=0.00343752; threshold=0.01,3.450558016,0.000000000,0.008173229,0.000000000,48.749670437,0.000000000,0.326142059,0.089482354,0.989374995|1.000000000,0.985937476|1.000000000,0.989374995|1.000000000,3.450558016|2.624908492
10,9100,threshold,skip,load difference below fixed threshold; diff=0.00374997; threshold=0.01,3.448980832,0.000000000,0.008159330,0.000000000,52.198651269,0.000000000,0.334301389,0.089482354,0.989374995|1.000000000,0.985625029|1.000000000,0.989374995|1.000000000,3.448980832|2.520441703
