run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
4,100,threshold,rebalance,accepted by fixed threshold; diff=0.489688; threshold=0.01,17.339860946,0.000000000,0.255616773,0.089446951,17.339860946,0.000000000,0.255616773,0.089446951,0.500000000|1.000000000,0.989687502|1.000000000,0.989687502|1.000000000,0.181807872|17.339860946
4,1100,threshold,skip,load difference below fixed threshold; diff=0.00437498; threshold=0.01,5.256452691,0.000000000,0.010029048,0.000000000,22.596313637,0.000000000,0.265645821,0.089446951,0.989687502|1.000000000,0.994062483|1.000000000,0.989687502|1.000000000,3.057030624|5.256452691
4,2100,threshold,skip,load difference below fixed threshold; diff=0.00343752; threshold=0.01,4.684123934,0.000000000,0.009870439,0.000000000,27.280437571,0.000000000,0.275516260,0.089446951,0.989687502|1.000000000,0.993125021|1.000000000,0.989687502|1.000000000,3.043949600|4.684123934
4,3100,threshold,skip,load difference below fixed threshold; diff=0.00218749; threshold=0.01,3.989183754,0.000000000,0.009308078,0.000000000,31.269621325,0.000000000,0.284824338,0.089446951,0.989687502|1.000000000,0.991874993|1.000000000,0.989687502|1.000000000,3.112699008|3.989183754
4,4100,threshold,skip,new partition identical,3.364635392,0.000000000,0.008155071,0.000000000,34.634256717,0.000000000,0.292979409,0.089446951,0.989687502|1.000000000,0.989687502|1.000000000,0.989687502|1.000000000,3.364635392|3.361626614
4,5100,threshold,skip,load difference below fixed threshold; diff=0.00125003; threshold=0.01,3.406131968,0.000000000,0.008205217,0.000000000,38.040388685,0.000000000,0.301184626,0.089446951,0.989687502|1.000000000,0.988437474|1.000000000,0.989687502|1.000000000,3.406131968|3.041490074
4,6100,threshold,skip,load difference below fixed threshold; diff=0.00218749; threshold=0.01,3.429027840,0.000000000,0.008214855,0.000000000,41.469416525,0.000000000,0.309399481,0.089446951,0.989687502|1.000000000,0.987500012|1.000000000,0.989687502|1.000000000,3.429027840|2.837001946
4,7100,threshold,skip,load difference below fixed threshold; diff=0.00312501; threshold=0.01,3.433186368,0.000000000,0.008158424,0.000000000,44.902602893,0.000000000,0.317557905,0.089446951,0.989687502|1.000000000,0.986562490|1.000000000,0.989687502|1.000000000,3.433186368|2.649487232
4,8100,threshold,skip,load difference below fixed threshold; diff=0.00375003; threshold=0.01,3.442159104,0.000000000,0.008173998,0.000000000,48.344761997,0.000000000,0.325731903,0.089446951,0.989687502|1.000000000,0.985937476|1.000000000,0.989687502|1.000000000,3.442159104|2.534551528
4,9100,threshold,skip,load difference below fixed threshold; diff=0.00406247; threshold=0.01,3.447053024,0.000000000,0.008129858,0.000000000,51.791815021,0.000000000,0.333861761,0.089446951,0.989687502|1.000000000,0.985625029|1.000000000,0.989687502|1.000000000,3.447053024|2.440857410
