run_id,compute_accum_s,comm_accum_s,balance_accum_s,rebalance_apply_accum_s
1,51.696633730,0.000000000,0.334700555,0.089459592
2,52.263988597,0.000000000,0.334738967,0.089339255
3,52.267297613,0.000000000,0.334948702,0.089419014
4,51.791815021,0.000000000,0.333861761,0.089446951
5,52.238258451,0.000000000,0.334683001,0.089553154
6,52.289406923,0.000000000,0.335140060,0.089329337
7,51.674808741,0.000000000,0.334248836,0.089661329
8,52.146652986,0.000000000,0.334651448,0.089601297
9,52.331071962,0.000000000,0.335223305,0.089523634
10,52.198651269,0.000000000,0.334301389,0.089482354
