run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
7,100,threshold,rebalance,accepted by fixed threshold; diff=0.489688; threshold=0.01,17.215659525,0.000000000,0.256077488,0.089661329,17.215659525,0.000000000,0.256077488,0.089661329,0.500000000|1.000000000,0.989687502|1.000000000,0.989687502|1.000000000,0.181690784|17.215659525
7,1100,threshold,skip,load difference below fixed threshold; diff=0.00437498; threshold=0.01,5.261360642,0.000000000,0.009969540,0.000000000,22.477020167,0.000000000,0.266047028,0.089661329,0.989687502|1.000000000,0.994062483|1.000000000,0.989687502|1.000000000,3.062919840|5.261360642
7,2100,threshold,skip,load difference below fixed threshold; diff=0.00375003; threshold=0.01,4.695287210,0.000000000,0.009827553,0.000000000,27.172307377,0.000000000,0.275874581,0.089661329,0.989687502|1.000000000,0.993437529|1.000000000,0.989687502|1.000000000,3.044416032|4.695287210
7,3100,threshold,skip,load difference below fixed threshold; diff=0.00218749; threshold=0.01,3.980995427,0.000000000,0.009241517,0.000000000,31.153302804,0.000000000,0.285116098,0.089661329,0.989687502|1.000000000,0.991874993|1.000000000,0.989687502|1.000000000,3.118162976|3.980995427
7,4100,threshold,skip,new partition identical,3.370125873,0.000000000,0.008119519,0.000000000,34.523428677,0.000000000,0.293235617,0.089661329,0.989687502|1.000000000,0.989687502|1.000000000,0.989687502|1.000000000,3.356368320|3.370125873
7,5100,threshold,skip,load difference below fixed threshold; diff=0.00125003; threshold=0.01,3.411800448,0.000000000,0.008193760,0.000000000,37.935229125,0.000000000,0.301429377,0.089661329,0.989687502|1.000000000,0.988437474|1.000000000,0.989687502|1.000000000,3.411800448|3.048530499
7,6100,threshold,skip,load difference below fixed threshold; diff=0.00218749; threshold=0.01,3.428642208,0.000000000,0.008215411,0.000000000,41.363871333,0.000000000,0.309644788,0.089661329,0.989687502|1.000000000,0.987500012|1.000000000,0.989687502|1.000000000,3.428642208|2.817407777
7,7100,threshold,skip,load difference below fixed threshold; diff=0.0028125; threshold=0.01,3.425887040,0.000000000,0.008180420,0.000000000,44.789758373,0.000000000,0.317825208,0.089661329,0.989687502|1.000000000,0.986874998|1.000000000,0.989687502|1.000000000,3.425887040|2.655785490
7,8100,threshold,skip,load difference below fixed threshold; diff=0.00375003; threshold=0.01,3.438872480,0.000000000,0.008215620,0.000000000,48.228630853,0.000000000,0.326040828,0.089661329,0.989687502|1.000000000,0.985937476|1.000000000,0.989687502|1.000000000,3.438872480|2.538675008
7,9100,threshold,skip,load difference below fixed threshold; diff=0.00406247; threshold=0.01,3.446177888,0.000000000,0.008208008,0.000000000,51.674808741,0.000000000,0.334248836,0.089661329,0.989687502|1.000000000,0.985625029|1.000000000,0.989687502|1.000000000,3.446177888|2.445557097
