run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
2,100,profiled,rebalance,adaptive decision accepted; remaining_iterations=9900; gain_total=53.053; migration_cost=0.0245671; max_migrated_bytes=1360000; T_comp_int_per_iter=0.00545815; T_comp_bal_per_iter=9.92559e-05,5.458146092,5.280679990,0.315411941,0.096744048,5.458146092,5.280679990,0.315411941,0.096744048,0.125000000|0.250000000|0.375000000|0.500000000|0.625000000|0.750000000|0.875000000|1.000000000,0.246562496|0.250312507|0.501250029|0.505312502|0.749687493|0.752499998|0.997812510|1.000000000,0.246562496|0.250312507|0.501250029|0.505312502|0.749687493|0.752499998|0.997812510|1.000000000,0.048836384|3.019456064|0.047973632|3.054028617|0.049204960|4.278907656|0.049093312|5.458146092
2,1100,scheduled,skip,static balance already attempted,1.444822572,4.070427382,0.000000000,0.000000000,6.902968664,9.351107372,0.315411941,0.096744048,0.246562496|0.250312507|0.501250029|0.505312502|0.749687493|0.752499998|0.997812510|1.000000000,,0.246562496|0.250312507|0.501250029|0.505312502|0.749687493|0.752499998|0.997812510|1.000000000,0.938202240|0.920565935|0.951524864|1.148893909|0.928933760|1.444822572|0.930175232|1.357681449
2,2100,scheduled,skip,static balance already attempted,1.257077215,4.136822823,0.000000000,0.000000000,8.160045879,13.487930195,0.315411941,0.096744048,0.246562496|0.250312507|0.501250029|0.505312502|0.749687493|0.752499998|0.997812510|1.000000000,,0.246562496|0.250312507|0.501250029|0.505312502|0.749687493|0.752499998|0.997812510|1.000000000,0.937482048|0.888833454|0.951087744|0.992554924|0.928559840|1.069188971|0.930284160|1.257077215
2,3100,scheduled,skip,static balance already attempted,1.048285083,4.161674323,0.000000000,0.000000000,9.208330962,17.649604518,0.315411941,0.096744048,0.246562496|0.250312507|0.501250029|0.505312502|0.749687493|0.752499998|0.997812510|1.000000000,,0.246562496|0.250312507|0.501250029|0.505312502|0.749687493|0.752499998|0.997812510|1.000000000,0.936938560|0.880843210|0.950520384|0.961986498|0.928346208|0.898120710|0.930051840|1.048285083
2,4100,scheduled,skip,static balance already attempted,0.950605952,4.179333229,0.000000000,0.000000000,10.158936914,21.828937747,0.315411941,0.096744048,0.246562496|0.250312507|0.501250029|0.505312502|0.749687493|0.752499998|0.997812510|1.000000000,,0.246562496|0.250312507|0.501250029|0.505312502|0.749687493|0.752499998|0.997812510|1.000000000,0.936901600|0.880997230|0.950605952|0.944149560|0.928272128|0.825133776|0.929842784|0.845812729
2,5100,scheduled,skip,static balance already attempted,0.953023264,4.242460917,0.000000000,0.000000000,11.111960178,26.071398664,0.315411941,0.096744048,0.246562496|0.250312507|0.501250029|0.505312502|0.749687493|0.752499998|0.997812510|1.000000000,,0.246562496|0.250312507|0.501250029|0.505312502|0.749687493|0.752499998|0.997812510|1.000000000,0.937313536|0.877594677|0.953023264|0.936835522|0.930057824|0.800478616|0.930120256|0.769986703
2,6100,scheduled,skip,static balance already attempted,0.950518048,4.231546735,0.000000000,0.000000000,12.062478226,30.302945399,0.315411941,0.096744048,0.246562496|0.250312507|0.501250029|0.505312502|0.749687493|0.752499998|0.997812510|1.000000000,,0.246562496|0.250312507|0.501250029|0.505312502|0.749687493|0.752499998|0.997812510|1.000000000,0.937277824|0.890240738|0.950518048|0.935556175|0.928870944|0.775193418|0.930281280|0.726542636
2,7100,scheduled,skip,static balance already attempted,0.950500416,4.178896928,0.000000000,0.000000000,13.012978642,34.481842327,0.315411941,0.096744048,0.246562496|0.250312507|0.501250029|0.505312502|0.749687493|0.752499998|0.997812510|1.000000000,,0.246562496|0.250312507|0.501250029|0.505312502|0.749687493|0.752499998|0.997812510|1.000000000,0.936524032|0.884633072|0.950500416|0.928326211|0.928874848|0.757691421|0.929900288|0.679712113
2,8100,scheduled,skip,static balance already attempted,0.950643680,4.247141006,0.000000000,0.000000000,13.963622322,38.728983333,0.315411941,0.096744048,0.246562496|0.250312507|0.501250029|0.505312502|0.749687493|0.752499998|0.997812510|1.000000000,,0.246562496|0.250312507|0.501250029|0.505312502|0.749687493|0.752499998|0.997812510|1.000000000,0.936660672|0.883435162|0.950643680|0.931372599|0.928770688|0.746281109|0.929949664|0.664221405
2,9100,scheduled,skip,static balance already attempted,0.950460192,4.197516781,0.000000000,0.000000000,14.914082514,42.926500114,0.315411941,0.096744048,0.246562496|0.250312507|0.501250029|0.505312502|0.749687493|0.752499998|0.997812510|1.000000000,,0.246562496|0.250312507|0.501250029|0.505312502|0.749687493|0.752499998|0.997812510|1.000000000,0.936360608|0.874087594|0.950460192|0.925439124|0.929185184|0.725311435|0.929920448|0.643094509
