run_id,compute_accum_s,comm_accum_s,balance_accum_s,rebalance_apply_accum_s
1,14.818674794,42.717392346,0.293566469,0.075342104
2,14.914082514,42.926500114,0.315411941,0.096744048
3,14.858349764,42.719939366,0.293824671,0.073334072
4,14.910006456,44.274773265,0.463859879,0.244954669
5,14.919760104,45.278434077,0.355362561,0.136034279
6,14.853320664,44.785919685,0.293474475,0.074664716
7,14.802879421,44.336298769,0.290315396,0.070380544
8,14.793128322,44.698868161,0.302373489,0.083482714
9,14.740179214,44.644688922,0.288889740,0.069319019
10,14.731156621,44.554786893,0.290768104,0.071927113
