run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
1,100,threshold,rebalance,accepted by fixed threshold; diff=0.246618; threshold=0.1,5.404937566,5.148554248,0.291143164,0.071098378,5.404937566,5.148554248,0.291143164,0.071098378,0.125000000|0.250000000|0.375000000|0.500000000|0.625000000|0.750000000|0.875000000|1.000000000,0.246875003|0.250937492|0.500312507|0.504374981|0.748125017|0.750937521|0.997812510|1.000000000,0.246875003|0.250937492|0.500312507|0.504374981|0.748125017|0.750937521|0.997812510|1.000000000,0.048744704|3.020817542|0.048254336|3.058087901|0.049342816|4.274859358|0.048766144|5.404937566
1,1100,threshold,skip,load difference below fixed threshold; diff=0.00327753; threshold=0.1,1.416104354,4.192003223,0.017024606,0.000000000,6.821041920,9.340557471,0.308167770,0.071098378,0.246875003|0.250937492|0.500312507|0.504374981|0.748125017|0.750937521|0.997812510|1.000000000,0.247187495|0.250937492|0.498437494|0.501874983|0.748749971|0.750625014|0.998437524|1.000000000,0.246875003|0.250937492|0.500312507|0.504374981|0.748125017|0.750937521|0.997812510|1.000000000,0.938403680|0.981639385|0.946183776|1.149756170|0.927017344|1.416104354|0.936110752|1.364338941
1,2100,threshold,skip,load difference below fixed threshold; diff=0.00298106; threshold=0.1,1.250870377,4.368476096,0.015136871,0.000000000,8.071912297,13.709033567,0.323304641,0.071098378,0.246875003|0.250937492|0.500312507|0.504374981|0.748125017|0.750937521|0.997812510|1.000000000,0.247187495|0.250937492|0.498437494|0.502187490|0.748437524|0.750937521|0.998437524|1.000000000,0.246875003|0.250937492|0.500312507|0.504374981|0.748125017|0.750937521|0.997812510|1.000000000,0.937379168|0.950218440|0.946323264|0.990041832|0.928524480|1.066093163|0.935811840|1.250870377
1,3100,threshold,skip,load difference below fixed threshold; diff=0.00401414; threshold=0.1,1.043596001,4.384836616,0.017038644,0.000000000,9.115508298,18.093870183,0.340343285,0.071098378,0.246875003|0.250937492|0.500312507|0.504374981|0.748125017|0.750937521|0.997812510|1.000000000,0.246562496|0.250625014|0.497500002|0.501562476|0.748125017|0.750937521|0.998125017|1.000000000,0.246875003|0.250937492|0.500312507|0.504374981|0.748125017|0.750937521|0.997812510|1.000000000,0.937327616|0.933640607|0.945834368|0.961259641|0.926343296|0.882589389|0.935659200|1.043596001
1,4100,threshold,skip,load difference below fixed threshold; diff=0.004134; threshold=0.1,0.953357311,4.415889218,0.020542563,0.000000000,10.068865609,22.509759401,0.360885848,0.071098378,0.246875003|0.250937492|0.500312507|0.504374981|0.748125017|0.750937521|0.997812510|1.000000000,0.246562496|0.250625014|0.497500002|0.501562476|0.747187495|0.750625014|0.997500002|1.000000000,0.246875003|0.250937492|0.500312507|0.504374981|0.748125017|0.750937521|0.997812510|1.000000000,0.937475264|0.929455441|0.945763392|0.953357311|0.928243648|0.811352382|0.935642272|0.848230358
1,5100,threshold,skip,load difference below fixed threshold; diff=0.00504858; threshold=0.1,0.945818656,4.407353176,0.014905061,0.000000000,11.014684265,26.917112577,0.375790909,0.071098378,0.246875003|0.250937492|0.500312507|0.504374981|0.748125017|0.750937521|0.997812510|1.000000000,0.246250004|0.250312507|0.496874988|0.500937521|0.747187495|0.750625014|0.997500002|1.000000000,0.246875003|0.250937492|0.500312507|0.504374981|0.748125017|0.750937521|0.997812510|1.000000000,0.937729824|0.938198606|0.945818656|0.940357332|0.926678400|0.771571478|0.935898848|0.771226139
1,6100,threshold,skip,load difference below fixed threshold; diff=0.00466661; threshold=0.1,0.946197664,4.449155565,0.015358191,0.000000000,11.960881929,31.366268142,0.391149100,0.071098378,0.246875003|0.250937492|0.500312507|0.504374981|0.748125017|0.750937521|0.997812510|1.000000000,0.246562496|0.250625014|0.497187495|0.501250029|0.746874988|0.750625014|0.997187495|1.000000000,0.246875003|0.250937492|0.500312507|0.504374981|0.748125017|0.750937521|0.997812510|1.000000000,0.936951360|0.936355421|0.946197664|0.942880942|0.927187168|0.756334944|0.936212544|0.722386613
1,7100,threshold,skip,load difference below fixed threshold; diff=0.00521978; threshold=0.1,0.946189184,4.423602275,0.015499828,0.000000000,12.907071113,35.789870417,0.406648928,0.071098378,0.246875003|0.250937492|0.500312507|0.504374981|0.748125017|0.750937521|0.997812510|1.000000000,0.246250004|0.250312507|0.496874988|0.500937521|0.746874988|0.750312507|0.996874988|1.000000000,0.246875003|0.250937492|0.500312507|0.504374981|0.748125017|0.750937521|0.997812510|1.000000000,0.937160096|0.933037284|0.946189184|0.934617820|0.926724128|0.741420930|0.935892288|0.687226312
1,8100,threshold,skip,load difference below fixed threshold; diff=0.0053033; threshold=0.1,0.945906272,4.429399359,0.015599910,0.000000000,13.852977385,40.219269776,0.422248838,0.071098378,0.246875003|0.250937492|0.500312507|0.504374981|0.748125017|0.750937521|0.997812510|1.000000000,0.246250004|0.250312507|0.496874988|0.500937521|0.746562481|0.750312507|0.996874988|1.000000000,0.246875003|0.250937492|0.500312507|0.504374981|0.748125017|0.750937521|0.997812510|1.000000000,0.937067520|0.930185090|0.945906272|0.935203839|0.927171776|0.724843987|0.935631360|0.661289193
1,9100,threshold,skip,load difference below fixed threshold; diff=0.00571113; threshold=0.1,0.945812160,4.425747315,0.015630152,0.000000000,14.798789545,44.645017091,0.437878990,0.071098378,0.246875003|0.250937492|0.500312507|0.504374981|0.748125017|0.750937521|0.997812510|1.000000000,0.246250004|0.250312507|0.496562511|0.500625014|0.746562481|0.750312507|0.996874988|1.000000000,0.246875003|0.250937492|0.500312507|0.504374981|0.748125017|0.750937521|0.997812510|1.000000000,0.937580800|0.937467999|0.945812160|0.930881211|0.926719232|0.716145117|0.935844864|0.649681079
