run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
3,100,threshold,rebalance,accepted by fixed threshold; diff=0.246789; threshold=0.1,5.396913863,5.531683095,0.303848922,0.085813434,5.396913863,5.531683095,0.303848922,0.085813434,0.125000000|0.250000000|0.375000000|0.500000000|0.625000000|0.750000000|0.875000000|1.000000000,0.245937496|0.250000000|0.500625014|0.504374981|0.749062479|0.751874983|0.997812510|1.000000000,0.245937496|0.250000000|0.500625014|0.504374981|0.749062479|0.751874983|0.997812510|1.000000000,0.049212736|3.019309892|0.048332064|3.051603274|0.049471840|4.271294557|0.049262144|5.396913863
3,1100,threshold,skip,load difference below fixed threshold; diff=0.00336572; threshold=0.1,1.439450736,4.412041541,0.014577017,0.000000000,6.836364599,9.943724636,0.318425939,0.085813434,0.245937496|0.250000000|0.500625014|0.504374981|0.749062479|0.751874983|0.997812510|1.000000000,0.246875003|0.250937492|0.498750001|0.502187490|0.749062479|0.750937521|0.998437524|1.000000000,0.245937496|0.250000000|0.500625014|0.504374981|0.749062479|0.751874983|0.997812510|1.000000000,0.935491584|0.974795887|0.948788416|1.075615416|0.930682016|1.439450736|0.932720704|1.354071231
3,2100,threshold,skip,load difference below fixed threshold; diff=0.00386542; threshold=0.1,1.247294727,4.472480111,0.014162231,0.000000000,8.083659326,14.416204747,0.332588170,0.085813434,0.245937496|0.250000000|0.500625014|0.504374981|0.749062479|0.751874983|0.997812510|1.000000000,0.246562496|0.250625014|0.498124987|0.501874983|0.748437524|0.750937521|0.998437524|1.000000000,0.245937496|0.250000000|0.500625014|0.504374981|0.749062479|0.751874983|0.997812510|1.000000000,0.934922976|0.943284530|0.950195392|0.937265856|0.930406208|1.065086962|0.932274688|1.247294727
3,3100,threshold,skip,load difference below fixed threshold; diff=0.00396517; threshold=0.1,1.045927243,4.461526716,0.017569218,0.000000000,9.129586569,18.877731463,0.350157388,0.085813434,0.245937496|0.250000000|0.500625014|0.504374981|0.749062479|0.751874983|0.997812510|1.000000000,0.246250004|0.250312507|0.497812510|0.501874983|0.748125017|0.751250029|0.998125017|1.000000000,0.245937496|0.250000000|0.500625014|0.504374981|0.749062479|0.751874983|0.997812510|1.000000000,0.934967040|0.925883735|0.948168800|0.905413712|0.929889856|0.881300528|0.932837408|1.045927243
3,4100,threshold,skip,load difference below fixed threshold; diff=0.00451776; threshold=0.1,0.948318912,4.496147906,0.014588751,0.000000000,10.077905481,23.373879369,0.364746139,0.085813434,0.245937496|0.250000000|0.500625014|0.504374981|0.749062479|0.751874983|0.997812510|1.000000000,0.246250004|0.250312507|0.497500002|0.501562476|0.747812510|0.750937521|0.997500002|1.000000000,0.245937496|0.250000000|0.500625014|0.504374981|0.749062479|0.751874983|0.997812510|1.000000000,0.935004160|0.927927600|0.948318912|0.895841048|0.930164800|0.815098614|0.933138432|0.859947743
3,5100,threshold,skip,load difference below fixed threshold; diff=0.0047905; threshold=0.1,0.947921216,4.473608844,0.015274030,0.000000000,11.025826697,27.847488213,0.380020169,0.085813434,0.245937496|0.250000000|0.500625014|0.504374981|0.749062479|0.751874983|0.997812510|1.000000000,0.245937496|0.250000000|0.497500002|0.501250029|0.747500002|0.750937521|0.997500002|1.000000000,0.245937496|0.250000000|0.500625014|0.504374981|0.749062479|0.751874983|0.997812510|1.000000000,0.935168832|0.925683400|0.947921216|0.885686774|0.929792320|0.782644823|0.932991648|0.776556071
3,6100,threshold,skip,load difference below fixed threshold; diff=0.00520101; threshold=0.1,0.948420768,4.464040766,0.014547124,0.000000000,11.974247465,32.311528979,0.394567293,0.085813434,0.245937496|0.250000000|0.500625014|0.504374981|0.749062479|0.751874983|0.997812510|1.000000000,0.245937496|0.250000000|0.497187495|0.501250029|0.747187495|0.750625014|0.997187495|1.000000000,0.245937496|0.250000000|0.500625014|0.504374981|0.749062479|0.751874983|0.997812510|1.000000000,0.934588672|0.932041465|0.948420768|0.882398055|0.929662208|0.756511397|0.932629312|0.722283635
3,7100,threshold,skip,load difference below fixed threshold; diff=0.00539456; threshold=0.1,0.948143136,4.491453807,0.015656550,0.000000000,12.922390601,36.802982786,0.410223843,0.085813434,0.245937496|0.250000000|0.500625014|0.504374981|0.749062479|0.751874983|0.997812510|1.000000000,0.245937496|0.250000000|0.497187495|0.500937521|0.747187495|0.750625014|0.997187495|1.000000000,0.245937496|0.250000000|0.500625014|0.504374981|0.749062479|0.751874983|0.997812510|1.000000000,0.935031520|0.928327966|0.948143136|0.876681459|0.929808128|0.747821208|0.932809824|0.694393984
3,8100,threshold,skip,load difference below fixed threshold; diff=0.00575372; threshold=0.1,0.948267872,4.452286975,0.018191501,0.000000000,13.870658473,41.255269761,0.428415344,0.085813434,0.245937496|0.250000000|0.500625014|0.504374981|0.749062479|0.751874983|0.997812510|1.000000000,0.245937496|0.250000000|0.496874988|0.500937521|0.746874988|0.750625014|0.996874988|1.000000000,0.245937496|0.250000000|0.500625014|0.504374981|0.749062479|0.751874983|0.997812510|1.000000000,0.935081664|0.934201504|0.948267872|0.881961762|0.929198208|0.726057093|0.932987520|0.675968264
3,9100,threshold,skip,load difference below fixed threshold; diff=0.00575372; threshold=0.1,0.948316992,4.493575154,0.016386807,0.000000000,14.818975465,45.748844915,0.444802151,0.085813434,0.245937496|0.250000000|0.500625014|0.504374981|0.749062479|0.751874983|0.997812510|1.000000000,0.245937496|0.250000000|0.496874988|0.500937521|0.746874988|0.750625014|0.996874988|1.000000000,0.245937496|0.250000000|0.500625014|0.504374981|0.749062479|0.751874983|0.997812510|1.000000000,0.934625472|0.933910620|0.948316992|0.884932785|0.929309632|0.718060924|0.932616576|0.650827324
