run_id,compute_accum_s,comm_accum_s,balance_accum_s,rebalance_apply_accum_s
1,14.798789545,44.645017091,0.437878990,0.071098378
2,14.802172599,44.470145405,0.447659946,0.078870979
3,14.818975465,45.748844915,0.444802151,0.085813434
4,14.931221228,44.176830524,0.481133680,0.120890511
5,14.908671742,44.126868970,0.501782448,0.136205745
6,14.907075526,44.601128133,0.466033016,0.100039925
7,14.826898006,44.551192099,0.431486269,0.072251238
8,14.851799041,43.746708491,0.439050650,0.071175899
9,14.830557357,44.171311099,0.444234029,0.081487664
10,14.843703689,43.920311070,0.454647072,0.094269553
