run_id,compute_accum_s,comm_accum_s,balance_accum_s,rebalance_apply_accum_s
1,26.247267907,25.929657510,0.368149944,0.157749274
2,26.310639693,25.773323099,0.361986422,0.152004744
3,26.306937579,25.761787602,0.352631919,0.143463907
4,26.341355682,26.573510353,0.356652394,0.146809577
5,26.309433628,26.083306100,0.357065767,0.147858279
6,26.349969392,26.248237608,0.363486256,0.147850040
7,26.291154638,26.370957739,0.360646370,0.148033379
8,26.209134363,26.032618698,0.344992968,0.135697652
9,26.367594572,25.797556118,0.353761444,0.143503996
10,26.336359253,25.918958574,0.357179520,0.145451337
