run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
9,100,threshold,rebalance,accepted by fixed threshold; diff=0.348053; threshold=0.0003125,10.503529577,9.281444174,0.353761444,0.143503996,10.503529577,9.281444174,0.353761444,0.143503996,0.250000000|0.500000000|0.750000000|1.000000000,0.496562511|0.504062474|0.995625019|1.000000000,0.496562511|0.504062474|0.995625019|1.000000000,0.092922208|6.101977558|0.093910880|10.503529577
9,1100,scheduled,skip,static balance already attempted,2.415860619,1.862628222,0.000000000,0.000000000,12.919390196,11.144072396,0.353761444,0.143503996,0.496562511|0.504062474|0.995625019|1.000000000,,0.496562511|0.504062474|0.995625019|1.000000000,1.607156448|1.896518261|1.575650208|2.415860619
9,2100,scheduled,skip,static balance already attempted,2.201409796,1.822793392,0.000000000,0.000000000,15.120799992,12.966865788,0.353761444,0.143503996,0.496562511|0.504062474|0.995625019|1.000000000,,0.496562511|0.504062474|0.995625019|1.000000000,1.576745184|1.621289655|1.553336992|2.201409796
9,3100,scheduled,skip,static balance already attempted,1.788060212,1.825521864,0.000000000,0.000000000,16.908860204,14.792387652,0.353761444,0.143503996,0.496562511|0.504062474|0.995625019|1.000000000,,0.496562511|0.504062474|0.995625019|1.000000000,1.576402784|1.559542349|1.553428480|1.788060212
9,4100,scheduled,skip,static balance already attempted,1.576298848,1.814440810,0.000000000,0.000000000,18.485159052,16.606828462,0.353761444,0.143503996,0.496562511|0.504062474|0.995625019|1.000000000,,0.496562511|0.504062474|0.995625019|1.000000000,1.576298848|1.536272585|1.553237856|1.513298522
9,5100,scheduled,skip,static balance already attempted,1.576482656,1.822729826,0.000000000,0.000000000,20.061641708,18.429558288,0.353761444,0.143503996,0.496562511|0.504062474|0.995625019|1.000000000,,0.496562511|0.504062474|0.995625019|1.000000000,1.576482656|1.516786115|1.553274528|1.367896787
9,6100,scheduled,skip,static balance already attempted,1.576403904,1.839454870,0.000000000,0.000000000,21.638045612,20.269013158,0.353761444,0.143503996,0.496562511|0.504062474|0.995625019|1.000000000,,0.496562511|0.504062474|0.995625019|1.000000000,1.576403904|1.501580697|1.553482688|1.281612370
9,7100,scheduled,skip,static balance already attempted,1.576679264,1.813679216,0.000000000,0.000000000,23.214724876,22.082692374,0.353761444,0.143503996,0.496562511|0.504062474|0.995625019|1.000000000,,0.496562511|0.504062474|0.995625019|1.000000000,1.576679264|1.496251846|1.554620736|1.230230575
9,8100,scheduled,skip,static balance already attempted,1.576661792,1.860805037,0.000000000,0.000000000,24.791386668,23.943497411,0.353761444,0.143503996,0.496562511|0.504062474|0.995625019|1.000000000,,0.496562511|0.504062474|0.995625019|1.000000000,1.576661792|1.493878470|1.553936064|1.182211500
9,9100,scheduled,skip,static balance already attempted,1.576207904,1.854058707,0.000000000,0.000000000,26.367594572,25.797556118,0.353761444,0.143503996,0.496562511|0.504062474|0.995625019|1.000000000,,0.496562511|0.504062474|0.995625019|1.000000000,1.576207904|1.495965135|1.554082208|1.140333323
