run_id,iteration,policy,action,reason,T_compute_interval_s,T_comm_interval_s,T_balance_total_s,T_rebalance_apply_s,T_compute_accum_s,T_comm_accum_s,T_balance_accum_s,T_rebalance_apply_accum_s,old_loads,proposed_loads,current_loads,device_times
6,100,threshold,rebalance,accepted by fixed threshold; diff=0.348504; threshold=0.0003125,10.444753271,9.339339446,0.363486256,0.147850040,10.444753271,9.339339446,0.363486256,0.147850040,0.250000000|0.500000000|0.750000000|1.000000000,0.497187495|0.504687488|0.995625019|1.000000000,0.497187495|0.504687488|0.995625019|1.000000000,0.092728576|6.131159428|0.093921856|10.444753271
6,1100,scheduled,skip,static balance already attempted,2.422904476,1.899621385,0.000000000,0.000000000,12.867657747,11.238960831,0.363486256,0.147850040,0.497187495|0.504687488|0.995625019|1.000000000,,0.497187495|0.504687488|0.995625019|1.000000000,1.593236704|1.897034117|1.577463712|2.422904476
6,2100,scheduled,skip,static balance already attempted,2.177553727,1.940577848,0.000000000,0.000000000,15.045211474,13.179538679,0.363486256,0.147850040,0.497187495|0.504687488|0.995625019|1.000000000,,0.497187495|0.504687488|0.995625019|1.000000000,1.578719616|1.632405926|1.551397824|2.177553727
6,3100,scheduled,skip,static balance already attempted,1.833049790,1.835802339,0.000000000,0.000000000,16.878261264,15.015341018,0.363486256,0.147850040,0.497187495|0.504687488|0.995625019|1.000000000,,0.497187495|0.504687488|0.995625019|1.000000000,1.578412064|1.567792793|1.552010176|1.833049790
6,4100,scheduled,skip,static balance already attempted,1.578591456,1.857931865,0.000000000,0.000000000,18.456852720,16.873272883,0.363486256,0.147850040,0.497187495|0.504687488|0.995625019|1.000000000,,0.497187495|0.504687488|0.995625019|1.000000000,1.578591456|1.541834454|1.551276992|1.515760684
6,5100,scheduled,skip,static balance already attempted,1.578406848,1.850082844,0.000000000,0.000000000,20.035259568,18.723355727,0.363486256,0.147850040,0.497187495|0.504687488|0.995625019|1.000000000,,0.497187495|0.504687488|0.995625019|1.000000000,1.578406848|1.525018161|1.551853024|1.371595197
6,6100,scheduled,skip,static balance already attempted,1.578437728,1.862157521,0.000000000,0.000000000,21.613697296,20.585513248,0.363486256,0.147850040,0.497187495|0.504687488|0.995625019|1.000000000,,0.497187495|0.504687488|0.995625019|1.000000000,1.578437728|1.511197441|1.551874176|1.285060020
6,7100,scheduled,skip,static balance already attempted,1.579609312,1.888898782,0.000000000,0.000000000,23.193306608,22.474412030,0.363486256,0.147850040,0.497187495|0.504687488|0.995625019|1.000000000,,0.497187495|0.504687488|0.995625019|1.000000000,1.579609312|1.504372117|1.552005888|1.223793411
6,8100,scheduled,skip,static balance already attempted,1.578499648,1.839731797,0.000000000,0.000000000,24.771806256,24.314143827,0.363486256,0.147850040,0.497187495|0.504687488|0.995625019|1.000000000,,0.497187495|0.504687488|0.995625019|1.000000000,1.578499648|1.503340860|1.551229888|1.176571081
6,9100,scheduled,skip,static balance already attempted,1.578163136,1.934093781,0.000000000,0.000000000,26.349969392,26.248237608,0.363486256,0.147850040,0.497187495|0.504687488|0.995625019|1.000000000,,0.497187495|0.504687488|0.995625019|1.000000000,1.578163136|1.499495738|1.552683040|1.162463103
